ratio,angle,O,it_basic,lmin_basic,lmax_basic,it_flat,lmin_flat,lmax_flat,it_graded,lmin_graded,lmax_graded,it_ramp,lmin_ramp,lmax_ramp,it_harm,lmin_harm,lmax_harm,it_exact
1,45.0,1,205,0.00029593072217516675,4.0488096866602366,161,0.0002687794546983917,1.2767123434882397,157,0.0002705228461933627,1.2396404973075363,159,0.0002712703569487157,1.2649269036510202,160,0.00027121161374538133,1.3213964693742197,72
1,45.0,2,249,0.00032596571359126757,4.375676611641894,157,0.00027179121738169653,1.2630518990167687,151,0.0002770492544853227,1.2207159260187832,150,0.0002790551875982506,1.2318506918938026,150,0.00027902543691659586,1.2398322991085635,57
1,45.0,3,264,0.0003568250680160125,4.516762757873907,156,0.00027233631765484056,1.2610139662237285,147,0.0002806465765479952,1.2182551731464446,145,0.00028261579571239626,1.2188449526702572,145,0.00028261860710360686,1.222356275265034,48
1,45.0,4,264,0.0003913776510749368,4.641301030092527,155,0.0002724809606670996,1.2609515142078729,138,0.00028311667426479355,1.2182537653750238,133,0.000284646709873106,1.2182564909797537,133,0.0002846810872901264,1.2182581709935818,42
1,45.0,5,260,0.0004307923177493524,4.698087633009872,154,0.00027255316232489027,1.260947484203287,142,0.00028487718813888154,1.2182540394032115,142,0.00028595791843557514,1.21825635854232,142,0.00028602024168578456,1.218256044381459,39
1,45.0,6,253,0.00047608744252570156,4.727705588185644,153,0.0002726111589780093,1.2609504062559478,143,0.00028612963010991025,1.2182531189073111,142,0.000286875298689001,1.2182559689146133,142,0.00028696127803535366,1.218255729294572,35
1,45.0,8,234,0.0005892524825484473,4.761638281163303,151,0.0002727200919058614,1.2617452066666601,141,0.00028762930757086767,1.218253142410727,141,0.0002880772943137029,1.218257260956713,141,0.0002881991158026879,1.2182566425003971,31
10,45.0,1,173,0.0005683715776874317,4.003535731723271,134,0.0004945713653846864,1.4707269758465147,128,0.0005017058895461856,1.35892382796063,136,0.0005044855867102529,1.5529072747864914,135,0.0005052176624810434,1.5241648830697265,102
10,45.0,2,176,0.0006829917811961457,4.149572085901119,125,0.0005471271711017339,1.408325671499176,115,0.0005739529967687164,1.2307314258920659,115,0.0005824804066805211,1.2755333518314125,114,0.0005838049188291031,1.2386435373768139,79
10,45.0,3,176,0.0007702335966815748,4.300551635403436,123,0.0005677982293437927,1.3888642407337146,110,0.0006144528228879755,1.2142639833895774,109,0.000623128704194838,1.2144182578500726,109,0.0006250082410536021,1.2144267781152647,66
