ratio,angle,O,fine,coarse,it,lmin,lmax
1,45.0,3,flat,none,156,0.00027233631765484056,1.2610139662237285
1,45.0,3,flat,flat,46,0.03360202320728859,2.0706019634953012
1,45.0,3,flat,harm,42,0.03450544785116246,1.7071643796923963
1,45.0,3,harm,none,145,0.00028261860710360686,1.222356275265034
1,45.0,3,harm,flat,43,0.03412030701253573,1.9501586750543332
1,45.0,3,harm,harm,41,0.03566974388506651,1.7115043194954056
10,45.0,3,flat,none,123,0.0005677982293437927,1.3888642407337146
10,45.0,3,flat,flat,81,0.014347447964175744,2.2890726783620647
10,45.0,3,flat,harm,53,0.032143419122682426,1.984452776179935
10,45.0,3,harm,none,109,0.0006250082410536021,1.2144267781152647
10,45.0,3,harm,flat,73,0.013113801061037862,1.9729280517119756
10,45.0,3,harm,harm,50,0.0335330970695865,1.8629068244110274
100,45.0,3,flat,none,168,0.0003212120553010316,2.2217726923654775
100,45.0,3,flat,flat,159,0.002290067104461593,3.016066317015943
100,45.0,3,flat,harm,132,0.006302637515962126,2.9350363281998804
100,45.0,3,harm,none,134,0.00040942807207743146,1.7820650734560555
100,45.0,3,harm,flat,122,0.0022171277479299863,2.0586096657511637
100,45.0,3,harm,harm,113,0.006407379938471616,2.514416351315928
100,0.0,3,flat,none,100,0.004662029953643328,2.0306118542411524
100,0.0,3,flat,flat,73,0.012193390185264105,2.680340376966769
100,0.0,3,flat,harm,62,0.014065757756729757,2.4923878849423478
100,0.0,3,harm,none,85,0.0054166796027697115,1.8234553129778597
100,0.0,3,harm,flat,61,0.014615810726066061,2.0420434545854036
100,0.0,3,harm,harm,43,0.015928128202883113,2.093999824020123
