ratio,angle,P,nsub,N,cfg,it,lmin,lmax
1,45.0,2,4,1640,one-level sASM      (flat / none),54,0.002514230211116197,1.2627855051724415
1,45.0,2,4,1640,one-level harm PoU  (harm / none),52,0.0025549763970169692,1.2398194149436013
1,45.0,2,4,1640,two-level classical (flat / flat),39,0.03270052040012544,2.063916078356854
1,45.0,2,4,1640,two-level reuse     (harm / harm),36,0.034573014064872766,1.714078041688121
1,45.0,3,9,3660,one-level sASM      (flat / none),80,0.001102407311633493,1.2630376361918625
1,45.0,3,9,3660,one-level harm PoU  (harm / none),76,0.0011260559286147198,1.2398256470019364
1,45.0,3,9,3660,two-level classical (flat / flat),42,0.03254850923022017,2.0695396070469867
1,45.0,3,9,3660,two-level reuse     (harm / harm),40,0.03455059496842898,1.7121521724159685
1,45.0,4,16,6480,one-level sASM      (flat / none),106,0.0006158301063468114,1.2630518963049093
1,45.0,4,16,6480,one-level harm PoU  (harm / none),97,0.0006306372854850501,1.2398293383204873
1,45.0,4,16,6480,two-level classical (flat / flat),44,0.03247372914034056,2.0715784220897793
1,45.0,4,16,6480,two-level reuse     (harm / harm),40,0.03449164980412443,1.711180406949337
1,45.0,5,25,10100,one-level sASM      (flat / none),132,0.00039248194465429557,1.2630519000807332
1,45.0,5,25,10100,one-level harm PoU  (harm / none),126,0.0004025256227473348,1.2398311937935875
1,45.0,5,25,10100,two-level classical (flat / flat),45,0.03242925858071307,2.068585795348604
1,45.0,5,25,10100,two-level reuse     (harm / harm),40,0.034451581540434185,1.7105850352297096
1,45.0,6,36,14520,one-level sASM      (flat / none),157,0.00027179121738169653,1.2630518990167687
1,45.0,6,36,14520,one-level harm PoU  (harm / none),150,0.00027902543691659586,1.2398322991085635
1,45.0,6,36,14520,two-level classical (flat / flat),45,0.032399849404596275,2.071380720366423
1,45.0,6,36,14520,two-level reuse     (harm / harm),40,0.03442541956300471,1.7101796096466213
100,45.0,2,4,1640,one-level sASM      (flat / none),50,0.0041807351189619545,2.0829444698194908
100,45.0,2,4,1640,one-level harm PoU  (harm / none),44,0.0048003939670020635,1.8667340950859823
100,45.0,2,4,1640,two-level classical (flat / flat),51,0.0069925956329267795,2.956619294323181
100,45.0,2,4,1640,two-level reuse     (harm / harm),45,0.01008668885101584,2.6131729430797437
100,45.0,3,9,3660,one-level sASM      (flat / none),80,0.0014013650170471496,2.100326942340665
100,45.0,3,9,3660,one-level harm PoU  (harm / none),71,0.0016232362821321249,1.9026158919112426
100,45.0,3,9,3660,two-level classical (flat / flat),83,0.0037712121470056315,2.972378561980394
100,45.0,3,9,3660,two-level reuse     (harm / harm),72,0.006374239631754197,2.6603288028474523
100,45.0,4,16,6480,one-level sASM      (flat / none),111,0.0006896587754090064,2.1190228550217545
100,45.0,4,16,6480,one-level harm PoU  (harm / none),99,0.0008011109471499859,1.9190514204931834
100,45.0,4,16,6480,two-level classical (flat / flat),115,0.002811103125780849,2.982018718219819
100,45.0,4,16,6480,two-level reuse     (harm / harm),97,0.005207404647246886,2.6772159597748226
100,45.0,5,25,10100,one-level sASM      (flat / none),143,0.00040831835160925025,2.1276695639540733
100,45.0,5,25,10100,one-level harm PoU  (harm / none),126,0.0004749486449915984,1.9267728229825294
100,45.0,5,25,10100,two-level classical (flat / flat),144,0.0023863058317408013,2.9878553665977825
100,45.0,5,25,10100,two-level reuse     (harm / harm),119,0.004671431076757901,2.6857971729200463
100,45.0,6,36,14520,one-level sASM      (flat / none),177,0.00026945944060291705,2.132359352789895
100,45.0,6,36,14520,one-level harm PoU  (harm / none),154,0.0003136777839919345,1.9309970740319373
100,45.0,6,36,14520,two-level classical (flat / flat),171,0.0021558240869935467,2.9914827719142703
100,45.0,6,36,14520,two-level reuse     (harm / harm),138,0.004370469347967356,2.6909309476866143
