ratio,angle,P,nsub,cfg,ncoarse,it,lmin,lmax
1,45.0,2,4,"two-level reuse   (harm, 1 vec/sub)",4,36,0.034573014064872766,1.714078041688121
1,45.0,2,4,"enriched reuse    (harm, 3 vec/sub)",12,24,0.0849243160889599,1.751161596885592
1,45.0,3,9,"two-level reuse   (harm, 1 vec/sub)",9,40,0.03455059496842898,1.7121521724159685
1,45.0,3,9,"enriched reuse    (harm, 3 vec/sub)",27,23,0.10363312273218798,1.7528480143355403
1,45.0,4,16,"two-level reuse   (harm, 1 vec/sub)",16,40,0.03449164980412443,1.711180406949337
1,45.0,4,16,"enriched reuse    (harm, 3 vec/sub)",48,22,0.11573474346488229,1.7493917478713226
1,45.0,5,25,"two-level reuse   (harm, 1 vec/sub)",25,40,0.034451581540434185,1.7105850352297096
1,45.0,5,25,"enriched reuse    (harm, 3 vec/sub)",75,21,0.12867561807114475,1.7490302945135776
1,45.0,6,36,"two-level reuse   (harm, 1 vec/sub)",36,40,0.03442541956300471,1.7101796096466213
1,45.0,6,36,"enriched reuse    (harm, 3 vec/sub)",108,20,0.13108164907968506,1.7481077997455694
100,45.0,2,4,"two-level reuse   (harm, 1 vec/sub)",4,45,0.01008668885101584,2.6131729430797437
100,45.0,2,4,"enriched reuse    (harm, 3 vec/sub)",12,39,0.04031278680158214,2.6178875183276307
100,45.0,3,9,"two-level reuse   (harm, 1 vec/sub)",9,72,0.006374239631754197,2.6603288028474523
100,45.0,3,9,"enriched reuse    (harm, 3 vec/sub)",27,53,0.029049626758380933,2.6661355160043763
100,45.0,4,16,"two-level reuse   (harm, 1 vec/sub)",16,97,0.005207404647246886,2.6772159597748226
100,45.0,4,16,"enriched reuse    (harm, 3 vec/sub)",48,60,0.02537865875839028,2.6830778551702705
100,45.0,5,25,"two-level reuse   (harm, 1 vec/sub)",25,119,0.004671431076757901,2.6857971729200463
100,45.0,5,25,"enriched reuse    (harm, 3 vec/sub)",75,68,0.023574959265874534,2.6910043308542897
100,45.0,6,36,"two-level reuse   (harm, 1 vec/sub)",36,138,0.004370469347967356,2.6909309476866143
100,45.0,6,36,"enriched reuse    (harm, 3 vec/sub)",108,69,0.022514728645372527,2.695325611219139
100,0.0,2,4,"two-level reuse   (harm, 1 vec/sub)",4,28,0.057326214723426125,2.248384014470532
100,0.0,2,4,"enriched reuse    (harm, 3 vec/sub)",12,21,0.08058522513397118,2.3116066721897717
100,0.0,3,9,"two-level reuse   (harm, 1 vec/sub)",9,36,0.03017188583511552,2.282334894029745
100,0.0,3,9,"enriched reuse    (harm, 3 vec/sub)",27,24,0.04830537347370715,2.3198267260384147
100,0.0,4,16,"two-level reuse   (harm, 1 vec/sub)",16,44,0.019088562329308684,2.296984541667274
100,0.0,4,16,"enriched reuse    (harm, 3 vec/sub)",48,26,0.03779792664728307,2.324350508176945
100,0.0,5,25,"two-level reuse   (harm, 1 vec/sub)",25,47,0.015372063650400166,2.3046666584030913
100,0.0,5,25,"enriched reuse    (harm, 3 vec/sub)",75,26,0.03320245012994485,2.3267825339474046
100,0.0,6,36,"two-level reuse   (harm, 1 vec/sub)",36,50,0.013485158918017146,2.305038585047046
100,0.0,6,36,"enriched reuse    (harm, 3 vec/sub)",108,27,0.030492651452558674,2.328190138489946
