ratio,fiber,method,O,L,iter,lmin,lmax,kappa,omega,kappa_sub,pnorm,relerr
1,1|1|1,BASIC,0,0,118,8.9290e-04,1.5654e+00,1.7532e+03,1.1347e+00,1.4416e+02,1.220e-07,NA
1,1|1|1,sASM,0,0,118,8.9290e-04,1.5654e+00,1.7532e+03,NA,NA,1.220e-07,NA
1,1|1|1,ramp,0,0,118,8.9290e-04,1.5654e+00,1.7532e+03,NA,NA,1.220e-07,NA
1,1|1|1,harm,0,0,118,8.9290e-04,1.5654e+00,1.7532e+03,NA,NA,1.220e-07,NA
1,1|1|1,BASIC,1,0,147,9.8059e-04,3.2108e+00,3.2744e+03,1.1549e+00,1.5489e+02,1.069e-07,NA
1,1|1|1,sASM,1,0,101,9.2896e-04,1.2466e+00,1.3419e+03,NA,NA,1.105e-07,NA
1,1|1|1,ramp,1,0,99,9.3550e-04,1.2099e+00,1.2933e+03,NA,NA,1.049e-07,NA
1,1|1|1,harm,1,0,98,9.3691e-04,1.1971e+00,1.2778e+03,NA,NA,1.154e-07,NA
1,1|1|1,BASIC,2,0,175,1.0248e-03,3.4911e+00,3.4065e+03,1.1623e+00,1.6551e+02,1.475e-07,NA
1,1|1|1,sASM,2,0,101,9.3058e-04,1.2408e+00,1.3333e+03,NA,NA,1.057e-07,NA
1,1|1|1,ramp,2,0,95,9.4545e-04,1.1687e+00,1.2362e+03,NA,NA,1.218e-07,NA
1,1|1|1,harm,2,0,94,9.4671e-04,1.1673e+00,1.2330e+03,NA,NA,1.301e-07,NA
1,1|1|1,BASIC,3,0,196,1.0695e-03,4.3511e+00,4.0685e+03,1.1634e+00,1.7561e+02,1.571e-07,NA
1,1|1|1,sASM,3,0,101,9.3063e-04,1.2576e+00,1.3513e+03,NA,NA,1.074e-07,NA
1,1|1|1,ramp,3,0,93,9.4918e-04,1.1650e+00,1.2274e+03,NA,NA,1.195e-07,NA
1,1|1|1,harm,3,0,93,9.5025e-04,1.1645e+00,1.2255e+03,NA,NA,1.125e-07,NA
2,1|1|1,BASIC,0,0,123,9.5050e-04,1.5290e+00,1.6086e+03,1.1097e+00,1.5472e+02,1.223e-07,NA
2,1|1|1,sASM,0,0,123,9.5050e-04,1.5290e+00,1.6086e+03,NA,NA,1.223e-07,NA
2,1|1|1,ramp,0,0,123,9.5050e-04,1.5290e+00,1.6086e+03,NA,NA,1.223e-07,NA
2,1|1|1,harm,0,0,123,9.5050e-04,1.5290e+00,1.6086e+03,NA,NA,1.223e-07,NA
2,1|1|1,BASIC,1,0,173,1.0342e-03,3.2020e+00,3.0960e+03,1.1265e+00,1.6633e+02,1.461e-07,NA
2,1|1|1,sASM,1,0,111,9.8291e-04,1.2162e+00,1.2374e+03,NA,NA,1.100e-07,NA
2,1|1|1,ramp,1,0,109,9.8916e-04,1.1790e+00,1.1919e+03,NA,NA,1.121e-07,NA
2,1|1|1,harm,1,0,108,9.9066e-04,1.1710e+00,1.1821e+03,NA,NA,1.196e-07,NA
2,1|1|1,BASIC,2,0,181,1.0788e-03,3.4444e+00,3.1928e+03,1.1305e+00,1.7704e+02,1.452e-07,NA
2,1|1|1,sASM,2,0,110,9.8374e-04,1.2116e+00,1.2317e+03,NA,NA,1.346e-07,NA
2,1|1|1,ramp,2,0,106,9.9785e-04,1.1385e+00,1.1409e+03,NA,NA,1.218e-07,NA
2,1|1|1,harm,2,0,106,9.9913e-04,1.1356e+00,1.1366e+03,NA,NA,1.159e-07,NA
2,1|1|1,BASIC,3,0,199,1.1241e-03,4.3141e+00,3.8377e+03,1.1321e+00,1.8742e+02,1.563e-07,NA
2,1|1|1,sASM,3,0,111,9.8375e-04,1.2266e+00,1.2468e+03,NA,NA,1.071e-07,NA
2,1|1|1,ramp,3,0,106,1.0012e-03,1.1342e+00,1.1329e+03,NA,NA,1.061e-07,NA
2,1|1|1,harm,3,0,105,1.0022e-03,1.1335e+00,1.1310e+03,NA,NA,1.380e-07,NA
5,1|1|1,BASIC,0,0,128,9.2798e-04,1.5162e+00,1.6339e+03,1.1469e+00,1.9635e+02,1.317e-07,NA
5,1|1|1,sASM,0,0,128,9.2798e-04,1.5162e+00,1.6339e+03,NA,NA,1.317e-07,NA
5,1|1|1,ramp,0,0,128,9.2798e-04,1.5162e+00,1.6339e+03,NA,NA,1.317e-07,NA
5,1|1|1,harm,0,0,128,9.2798e-04,1.5162e+00,1.6339e+03,NA,NA,1.317e-07,NA
5,1|1|1,BASIC,1,0,181,9.9849e-04,3.2267e+00,3.2316e+03,1.1440e+00,2.0807e+02,1.264e-07,NA
5,1|1|1,sASM,1,0,112,9.5265e-04,1.1969e+00,1.2564e+03,NA,NA,1.276e-07,NA
5,1|1|1,ramp,1,0,112,9.5822e-04,1.1802e+00,1.2317e+03,NA,NA,1.285e-07,NA
5,1|1|1,harm,1,0,111,9.5977e-04,1.1697e+00,1.2187e+03,NA,NA,1.322e-07,NA
5,1|1|1,BASIC,2,0,186,1.0386e-03,3.4242e+00,3.2969e+03,1.1469e+00,2.2118e+02,1.440e-07,NA
5,1|1|1,sASM,2,0,112,9.5239e-04,1.1918e+00,1.2514e+03,NA,NA,1.346e-07,NA
5,1|1|1,ramp,2,0,111,9.6433e-04,1.1520e+00,1.1946e+03,NA,NA,1.235e-07,NA
5,1|1|1,harm,2,0,111,9.6556e-04,1.1506e+00,1.1916e+03,NA,NA,1.217e-07,NA
5,1|1|1,BASIC,3,0,205,1.0799e-03,4.3393e+00,4.0183e+03,1.1469e+00,2.3398e+02,1.724e-07,NA
5,1|1|1,sASM,3,0,113,9.5237e-04,1.1978e+00,1.2577e+03,NA,NA,1.267e-07,NA
5,1|1|1,ramp,3,0,111,9.6677e-04,1.1475e+00,1.1869e+03,NA,NA,1.196e-07,NA
5,1|1|1,harm,3,0,111,9.6778e-04,1.1471e+00,1.1852e+03,NA,NA,1.186e-07,NA
10,1|1|1,BASIC,0,0,142,8.6377e-04,1.5696e+00,1.8172e+03,1.1945e+00,2.4559e+02,1.166e-07,NA
10,1|1|1,sASM,0,0,142,8.6377e-04,1.5696e+00,1.8172e+03,NA,NA,1.166e-07,NA
10,1|1|1,ramp,0,0,142,8.6377e-04,1.5696e+00,1.8172e+03,NA,NA,1.166e-07,NA
10,1|1|1,harm,0,0,142,8.6377e-04,1.5696e+00,1.8172e+03,NA,NA,1.166e-07,NA
10,1|1|1,BASIC,1,0,191,9.2551e-04,3.3591e+00,3.6294e+03,1.1945e+00,2.6087e+02,1.442e-07,NA
10,1|1|1,sASM,1,0,126,8.8436e-04,1.2331e+00,1.3943e+03,NA,NA,1.242e-07,NA
10,1|1|1,ramp,1,0,125,8.8979e-04,1.2379e+00,1.3912e+03,NA,NA,1.127e-07,NA
10,1|1|1,harm,1,0,123,8.9144e-04,1.2154e+00,1.3634e+03,NA,NA,1.348e-07,NA
10,1|1|1,BASIC,2,0,197,9.6075e-04,3.4604e+00,3.6017e+03,1.1945e+00,2.7653e+02,1.537e-07,NA
10,1|1|1,sASM,2,0,126,8.8365e-04,1.2208e+00,1.3815e+03,NA,NA,1.067e-07,NA
10,1|1|1,ramp,2,0,123,8.9425e-04,1.1975e+00,1.3391e+03,NA,NA,1.252e-07,NA
10,1|1|1,harm,2,0,123,8.9547e-04,1.1972e+00,1.3370e+03,NA,NA,1.211e-07,NA
10,1|1|1,BASIC,3,0,224,9.9709e-04,4.4748e+00,4.4879e+03,1.1944e+00,2.9245e+02,1.656e-07,NA
10,1|1|1,sASM,3,0,126,8.8363e-04,1.2208e+00,1.3816e+03,NA,NA,1.063e-07,NA
10,1|1|1,ramp,3,0,123,8.9612e-04,1.1945e+00,1.3329e+03,NA,NA,1.192e-07,NA
10,1|1|1,harm,3,0,123,8.9712e-04,1.1945e+00,1.3314e+03,NA,NA,1.155e-07,NA
20,1|1|1,BASIC,0,0,160,7.8732e-04,1.6659e+00,2.1159e+03,1.2474e+00,3.0316e+02,1.081e-07,NA
20,1|1|1,sASM,0,0,160,7.8732e-04,1.6659e+00,2.1159e+03,NA,NA,1.081e-07,NA
20,1|1|1,ramp,0,0,160,7.8732e-04,1.6659e+00,2.1159e+03,NA,NA,1.081e-07,NA
20,1|1|1,harm,0,0,160,7.8732e-04,1.6659e+00,2.1159e+03,NA,NA,1.081e-07,NA
20,1|1|1,BASIC,1,0,221,8.4546e-04,3.6462e+00,4.3127e+03,1.2696e+00,3.2964e+02,1.451e-07,NA
20,1|1|1,sASM,1,0,142,8.0728e-04,1.3325e+00,1.6506e+03,NA,NA,1.139e-07,NA
20,1|1|1,ramp,1,0,142,8.1322e-04,1.3603e+00,1.6727e+03,NA,NA,1.134e-07,NA
20,1|1|1,harm,1,0,138,8.1504e-04,1.2785e+00,1.5686e+03,NA,NA,1.302e-07,NA
