ratio,method,O,L,iter,lmin,lmax,kappa
1,BASIC,0,0,118,8.9290e-04,1.5654e+00,1.7532e+03
1,sASM,0,0,118,8.9290e-04,1.5654e+00,1.7532e+03
1,ramp,0,0,118,8.9290e-04,1.5654e+00,1.7532e+03
1,harm,0,0,118,8.9290e-04,1.5654e+00,1.7532e+03
1,BASIC,1,0,147,9.8059e-04,3.2108e+00,3.2744e+03
1,sASM,1,0,101,9.2896e-04,1.2466e+00,1.3419e+03
1,ramp,1,0,99,9.3550e-04,1.2099e+00,1.2933e+03
1,harm,1,0,98,9.3691e-04,1.1971e+00,1.2778e+03
1,BASIC,2,0,175,1.0248e-03,3.4911e+00,3.4065e+03
1,sASM,2,0,101,9.3058e-04,1.2408e+00,1.3333e+03
1,ramp,2,0,95,9.4545e-04,1.1687e+00,1.2362e+03
1,harm,2,0,94,9.4671e-04,1.1673e+00,1.2330e+03
1,BASIC,3,0,196,1.0695e-03,4.3511e+00,4.0685e+03
1,sASM,3,0,101,9.3063e-04,1.2576e+00,1.3513e+03
1,ramp,3,0,93,9.4918e-04,1.1650e+00,1.2274e+03
1,harm,3,0,93,9.5025e-04,1.1645e+00,1.2255e+03
1,BASIC,4,0,203,1.1169e-03,4.4747e+00,4.0065e+03
1,sASM,4,0,101,9.3069e-04,1.2600e+00,1.3538e+03
1,ramp,4,0,92,9.5121e-04,1.1641e+00,1.2238e+03
1,harm,4,0,92,9.5214e-04,1.1640e+00,1.2225e+03
1,BASIC,5,0,202,1.1671e-03,4.5297e+00,3.8812e+03
1,sASM,5,0,100,9.3082e-04,1.2544e+00,1.3476e+03
1,ramp,5,0,92,9.5250e-04,1.1638e+00,1.2218e+03
1,harm,5,0,92,9.5332e-04,1.1638e+00,1.2208e+03
1,BASIC,6,0,201,1.2203e-03,4.5526e+00,3.7306e+03
1,sASM,6,0,100,9.3104e-04,1.2513e+00,1.3440e+03
1,ramp,6,0,91,9.5341e-04,1.1637e+00,1.2206e+03
1,harm,6,0,91,9.5414e-04,1.1638e+00,1.2197e+03
10,BASIC,0,0,142,8.6377e-04,1.5696e+00,1.8172e+03
