ranks,ratio,method,O,iter,lmin,lmax,kappa,omega
2,1,BASIC,0,126,9.3077e-04,1.5791e+00,1.6966e+03,1.1347e+00
2,1,sASM,0,126,9.3077e-04,1.5791e+00,1.6966e+03,NA
2,1,harm,0,126,9.3077e-04,1.5791e+00,1.6966e+03,NA
2,1,BASIC,3,149,1.0196e-03,2.3368e+00,2.2918e+03,1.1690e+00
2,1,sASM,3,109,9.5075e-04,1.2398e+00,1.3040e+03,NA
2,1,harm,3,103,9.6057e-04,1.1686e+00,1.2166e+03,NA
2,100,BASIC,0,197,6.5266e-04,1.8458e+00,2.8282e+03,1.3353e+00
2,100,sASM,0,197,6.5266e-04,1.8458e+00,2.8282e+03,NA
2,100,harm,0,197,6.5266e-04,1.8458e+00,2.8282e+03,NA
2,100,BASIC,3,239,7.3430e-04,3.0096e+00,4.0985e+03,1.5060e+00
2,100,sASM,3,171,6.9370e-04,1.5829e+00,2.2818e+03,NA
2,100,harm,3,164,7.0395e-04,1.5060e+00,2.1393e+03,NA
4,1,BASIC,0,118,8.9290e-04,1.5654e+00,1.7532e+03,1.1347e+00
4,1,sASM,0,118,8.9290e-04,1.5654e+00,1.7532e+03,NA
4,1,harm,0,118,8.9290e-04,1.5654e+00,1.7532e+03,NA
4,1,BASIC,3,196,1.0695e-03,4.3511e+00,4.0685e+03,1.1634e+00
4,1,sASM,3,101,9.3063e-04,1.2576e+00,1.3513e+03,NA
4,1,harm,3,93,9.5025e-04,1.1645e+00,1.2255e+03,NA
4,100,BASIC,0,199,6.1233e-04,1.8648e+00,3.0454e+03,1.3353e+00
4,100,sASM,0,199,6.1233e-04,1.8648e+00,3.0454e+03,NA
4,100,harm,0,199,6.1233e-04,1.8648e+00,3.0454e+03,NA
4,100,BASIC,3,297,7.4062e-04,5.6237e+00,7.5932e+03,1.6571e+00
4,100,sASM,3,182,6.4828e-04,1.6571e+00,2.5561e+03,NA
4,100,harm,3,180,6.6581e-04,1.6570e+00,2.4887e+03,NA
8,1,BASIC,0,122,8.5083e-04,1.5700e+00,1.8452e+03,1.1347e+00
8,1,sASM,0,122,8.5083e-04,1.5700e+00,1.8452e+03,NA
8,1,harm,0,122,8.5083e-04,1.5700e+00,1.8452e+03,NA
8,1,BASIC,3,203,1.1375e-03,4.4909e+00,3.9479e+03,1.1688e+00
8,1,sASM,3,103,9.0754e-04,1.2573e+00,1.3854e+03,NA
8,1,harm,3,95,9.3799e-04,1.1672e+00,1.2444e+03,NA
8,100,BASIC,0,217,5.1683e-04,1.9281e+00,3.7305e+03,1.3353e+00
8,100,sASM,0,217,5.1683e-04,1.9281e+00,3.7305e+03,NA
8,100,harm,0,217,5.1683e-04,1.9281e+00,3.7305e+03,NA
8,100,BASIC,3,328,7.7204e-04,5.9040e+00,7.6472e+03,1.7389e+00
8,100,sASM,3,191,6.1792e-04,2.0048e+00,3.2445e+03,NA
8,100,harm,3,182,6.5340e-04,1.7388e+00,2.6612e+03,NA
16,1,BASIC,0,138,8.0176e-04,1.6062e+00,2.0033e+03,1.1347e+00
16,1,sASM,0,138,8.0176e-04,1.6062e+00,2.0033e+03,NA
16,1,harm,0,138,8.0176e-04,1.6062e+00,2.0033e+03,NA
16,1,BASIC,3,218,1.2203e-03,5.5107e+00,4.5158e+03,1.1936e+00
16,1,sASM,3,114,8.7912e-04,1.2708e+00,1.4455e+03,NA
16,1,harm,3,97,9.2198e-04,1.1923e+00,1.2932e+03,NA
16,100,BASIC,0,233,4.6796e-04,1.9303e+00,4.1250e+03,1.3353e+00
16,100,sASM,0,233,4.6796e-04,1.9303e+00,4.1250e+03,NA
16,100,harm,0,233,4.6796e-04,1.9303e+00,4.1250e+03,NA
16,100,BASIC,3,361,8.0069e-04,8.1147e+00,1.0135e+04,1.6583e+00
16,100,sASM,3,206,5.5932e-04,2.0016e+00,3.5787e+03,NA
16,100,harm,3,191,6.0305e-04,1.6583e+00,2.7498e+03,NA
