kind,scheme,O,L,impl,iters,reductions,time_s
iter,0,0,0,mfem,132,,
iter,0,0,1,mfem,102,,
iter,0,0,2,mfem,87,,
iter,0,1,0,mfem,148,,
iter,0,1,1,mfem,102,,
iter,0,1,2,mfem,92,,
iter,0,2,0,mfem,179,,
iter,0,2,1,mfem,117,,
iter,0,2,2,mfem,90,,
iter,3,0,0,mfem,132,,
iter,3,0,1,mfem,102,,
iter,3,0,2,mfem,87,,
iter,3,1,0,mfem,104,,
iter,3,1,1,mfem,75,,
iter,3,1,2,mfem,70,,
iter,3,2,0,mfem,103,,
iter,3,2,1,mfem,73,,
iter,3,2,2,mfem,67,,
iter,4,0,0,mfem,85,,
iter,4,0,1,mfem,73,,
iter,4,0,2,mfem,66,,
iter,4,1,0,mfem,68,,
iter,4,1,1,mfem,54,,
iter,4,1,2,mfem,47,,
iter,4,2,0,mfem,65,,
iter,4,2,1,mfem,48,,
iter,4,2,2,mfem,42,,
iter,0,0,0,petsc,132,,
iter,0,0,1,petsc,102,,
iter,0,0,2,petsc,87,,
iter,0,1,0,petsc,148,,
iter,0,1,1,petsc,102,,
iter,0,1,2,petsc,92,,
iter,0,2,0,petsc,179,,
iter,0,2,1,petsc,117,,
iter,0,2,2,petsc,90,,
iter,3,0,0,petsc,132,,
iter,3,0,1,petsc,102,,
iter,3,0,2,petsc,87,,
iter,3,1,0,petsc,104,,
iter,3,1,1,petsc,75,,
iter,3,1,2,petsc,70,,
iter,3,2,0,petsc,103,,
iter,3,2,1,petsc,73,,
iter,3,2,2,petsc,67,,
iter,4,0,0,petsc,85,,
iter,4,0,1,petsc,73,,
iter,4,0,2,petsc,66,,
iter,4,1,0,petsc,68,,
iter,4,1,1,petsc,54,,
iter,4,1,2,petsc,47,,
iter,4,2,0,petsc,65,,
iter,4,2,1,petsc,48,,
iter,4,2,2,petsc,42,,
chol,0,0,-,mfem,52,,
chol,0,1,-,mfem,34,,
chol,0,2,-,mfem,30,,
reduc,0,0,0,mfem,132,5.250e+02,
reduc,0,1,0,mfem,148,5.740e+02,
reduc,0,2,0,mfem,179,6.680e+02,
reduc,3,0,0,mfem,132,5.280e+02,
reduc,3,1,0,mfem,104,4.450e+02,
reduc,3,2,0,mfem,103,4.430e+02,
reduc,4,0,0,mfem,85,3.870e+02,
reduc,4,1,0,mfem,68,3.370e+02,
reduc,4,2,0,mfem,65,3.290e+02,
time,0,1,0,mfem,148,,0.231
time,0,1,1,mfem,102,,0.168
time,0,1,2,mfem,92,,0.171
time,3,1,0,mfem,104,,0.149
time,3,1,1,mfem,75,,0.112
time,3,1,2,mfem,70,,0.119
time,4,1,0,mfem,68,,0.130
time,4,1,1,mfem,54,,0.112
time,4,1,2,mfem,47,,0.113
