dim,M,S,overlap,local,scaling,coef,contrast,N,n_sub,Nhat,iter,cg_info,lam_min,lam_max,kappa,omega,sec
1,33,4,0,exact,basic,const,1.0,33,4,1,7,0,0.012737771938430982,1.9872622280615688,156.01333087663653,1.0,0.02
1,33,4,1,exact,basic,const,1.0,33,4,2,8,0,0.03790159651838221,2.0000000000000013,52.768225713922234,1.0,0.0
1,33,4,2,exact,basic,const,1.0,33,4,2,8,0,0.06294542262125437,2.000000000000002,31.773557420276582,1.0,0.01
1,33,4,3,exact,basic,const,1.0,33,4,2,8,0,0.08823863431008361,2.000000000000001,22.665808640823986,1.0,0.0
1,33,4,4,exact,basic,const,1.0,33,4,2,8,0,0.12904754920967887,2.976978898257922,23.068852655395037,1.0,0.0
1,33,4,0,exact,sasm,const,1.0,33,4,1,7,0,0.012737771938430982,1.9872622280615688,156.01333087663653,1.0,0.0
1,33,4,1,exact,sasm,const,1.0,33,4,2,12,0,0.030150864950450135,2.122260384088668,70.38804318139417,1.0,0.01
1,33,4,2,exact,sasm,const,1.0,33,4,2,13,0,0.044004449676306366,2.3751305859104512,53.97478217275172,1.0,0.01
1,33,4,3,exact,sasm,const,1.0,33,4,2,13,0,0.05482096403264117,2.603904387806995,47.49833268631675,1.0,0.01
1,33,4,4,exact,sasm,const,1.0,33,4,2,8,0,0.06741480246809194,2.3445637747048904,34.77817465703611,1.0,0.0
1,33,4,0,ic0,basic,const,1.0,33,4,1,7,0,0.012737771938431152,1.9872622280615702,156.01333087663457,1.0000000000000095,0.01
1,33,4,1,ic0,basic,const,1.0,33,4,2,8,0,0.037901596518382166,2.000000000000003,52.768225713922334,1.000000000000007,0.01
1,33,4,2,ic0,basic,const,1.0,33,4,2,8,0,0.06294542262125485,2.0000000000000018,31.77355742027633,1.0000000000000133,0.01
1,33,4,3,ic0,basic,const,1.0,33,4,2,8,0,0.08823863431008483,2.000000000000003,22.6658086408237,1.0000000000000124,0.01
1,33,4,4,ic0,basic,const,1.0,33,4,2,8,0,0.12904754920967854,2.9769788982579235,23.06885265539511,1.0000000000000164,0.01
1,33,4,0,ic0,sasm,const,1.0,33,4,1,7,0,0.012737771938431152,1.9872622280615702,156.01333087663457,1.0000000000000095,0.01
1,33,4,1,ic0,sasm,const,1.0,33,4,2,12,0,0.030150864950449774,2.12226038408867,70.38804318139508,1.000000000000007,0.01
1,33,4,2,ic0,sasm,const,1.0,33,4,2,13,0,0.04400444967630704,2.375130585910454,53.974782172750956,1.0000000000000133,0.01
1,33,4,3,ic0,sasm,const,1.0,33,4,2,13,0,0.05482096403264084,2.6039043878070007,47.49833268631714,1.0000000000000124,0.01
1,33,4,4,ic0,sasm,const,1.0,33,4,2,8,0,0.06741480246809192,2.344563774704895,34.77817465703618,1.0000000000000164,0.01
2,25,4,0,exact,basic,const,1.0,625,16,1,40,0,0.008591060518854568,1.991408939481146,231.80012934499237,1.0,0.21
2,25,4,1,exact,basic,const,1.0,625,16,4,27,0,0.02870866385078541,4.000000000000011,139.3307616401165,1.0,0.21
2,25,4,2,exact,basic,const,1.0,625,16,4,21,0,0.05282084794073638,4.00000000000002,75.72767488488478,1.0,0.24
2,25,4,3,exact,basic,const,1.0,625,16,4,24,0,0.09999558231512705,5.673810349314998,56.74061011449983,1.0,0.23
2,25,4,4,exact,basic,const,1.0,625,16,9,24,0,0.16492256035518643,9.00000000000004,54.571066448502485,1.0,0.25
2,25,4,0,exact,sasm,const,1.0,625,16,1,40,0,0.008591060518854568,1.991408939481146,231.80012934499237,1.0,0.21
2,25,4,1,exact,sasm,const,1.0,625,16,4,27,0,0.02014765314049391,1.9576656349994515,97.16593894823525,1.0,0.2
2,25,4,2,exact,sasm,const,1.0,625,16,4,23,0,0.028587551419014964,2.036278462057049,71.22955135998886,1.0,0.21
2,25,4,3,exact,sasm,const,1.0,625,16,4,20,0,0.03496540959290506,1.8578239659836626,53.13319613909626,1.0,0.22
2,25,4,4,exact,sasm,const,1.0,625,16,9,19,0,0.04454813509344757,1.9248899830554427,43.20921580707355,1.0,0.25
2,25,4,0,ic0,basic,const,1.0,625,16,1,49,0,0.004649101597095356,1.6626604573791521,357.63048465491516,1.356177125111477,0.42
2,25,4,1,ic0,basic,const,1.0,625,16,4,55,0,0.007725297061444432,4.301052363058688,556.7491228945055,1.3564149098370497,0.46
2,25,4,2,ic0,basic,const,1.0,625,16,4,55,0,0.010412124570722443,4.542029833268236,436.225076104049,1.3564837189393164,0.57
2,25,4,3,ic0,basic,const,1.0,625,16,4,51,0,0.01503674048058154,5.332782671779764,354.65017692275296,1.3565054156534009,0.66
2,25,4,4,ic0,basic,const,1.0,625,16,9,57,0,0.019192939875399218,9.729872271895175,506.95059407582244,1.35651264358149,0.78
2,25,4,0,ic0,sasm,const,1.0,625,16,1,49,0,0.004649101597095356,1.6626604573791521,357.63048465491516,1.356177125111477,0.46
2,25,4,1,ic0,sasm,const,1.0,625,16,4,38,0,0.005890049966246659,1.275857685247089,216.61237044821019,1.3564149098370497,0.46
2,25,4,2,ic0,sasm,const,1.0,625,16,4,38,0,0.006058693919314961,1.2788199022184557,211.0718777427608,1.3564837189393164,0.99
2,25,4,3,ic0,sasm,const,1.0,625,16,4,38,0,0.006104295285712881,1.3331983372840226,218.40331682583846,1.3565054156534009,0.64
2,25,4,4,ic0,sasm,const,1.0,625,16,9,37,0,0.006352383563274833,1.278268328953742,201.22656577978404,1.35651264358149,0.76
3,13,4,0,exact,basic,const,1.0,2197,64,1,39,0,0.01160575575035594,1.9883942442496498,171.32828632798578,1.0,2.78
3,13,4,1,exact,basic,const,1.0,2197,64,8,29,0,0.05435731329838811,8.000000000000076,147.17430856240102,1.0,3.2
3,13,4,2,exact,basic,const,1.0,2197,64,27,38,0,0.19881430403005926,27.000000000000085,135.8051179049868,1.0,5.23
3,13,4,3,exact,basic,const,1.0,2197,64,27,39,0,0.5428866961847731,32.45155185822375,59.77592025423067,1.0,8.91
3,13,4,4,exact,basic,const,1.0,2197,64,64,21,0,2.377125399188756,64.00000000000014,26.92327465006326,1.0,13.68
3,13,4,0,exact,sasm,const,1.0,2197,64,1,39,0,0.01160575575035594,1.9883942442496498,171.32828632798578,1.0,2.62
3,13,4,1,exact,sasm,const,1.0,2197,64,8,23,0,0.0263748424948258,1.6296124128170701,61.786621593541895,1.0,3.45
3,13,4,2,exact,sasm,const,1.0,2197,64,27,19,0,0.03935252152857849,1.4253975950518365,36.22125189657003,1.0,4.84
3,13,4,3,exact,sasm,const,1.0,2197,64,27,17,0,0.061193817440956755,1.4444507104302613,23.6045203720776,1.0,8.78
3,13,4,4,exact,sasm,const,1.0,2197,64,64,13,0,0.12005205094825755,1.3876177205827256,11.558467428272333,1.0,14.17
3,13,4,0,ic0,basic,const,1.0,2197,64,1,41,0,0.008277739121533845,1.6889171015743019,204.03120668308156,1.1847212407215846,10.32
3,13,4,1,ic0,basic,const,1.0,2197,64,8,54,0,0.023551148164162518,8.313813015491629,353.01094271669746,1.187523307694521,7.6
3,13,4,2,ic0,basic,const,1.0,2197,64,27,64,0,0.05680791111829392,27.130547113285168,477.58395933252837,1.1880847385849587,14.96
3,13,4,3,ic0,basic,const,1.0,2197,64,27,59,0,0.11773775028540001,32.481181130429704,275.87737197028395,1.1882268781418885,52.08
3,13,4,4,ic0,basic,const,1.0,2197,64,64,50,0,0.23984904544921903,66.78842830356774,278.460263114569,1.1882774653321204,137.03
3,13,4,0,ic0,sasm,const,1.0,2197,64,1,41,0,0.008277739121533845,1.6889171015743019,204.03120668308156,1.1847212407215846,5.36
3,13,4,1,ic0,sasm,const,1.0,2197,64,8,31,0,0.011113110889331201,1.2521957977727625,112.67734212702713,1.187523307694521,7.42
3,13,4,2,ic0,sasm,const,1.0,2197,64,27,29,0,0.01202870936432543,1.262149626934703,104.92810065541761,1.1880847385849587,14.74
3,13,4,3,ic0,sasm,const,1.0,2197,64,27,28,0,0.012663612423272852,1.2715585025303948,100.41040897568519,1.1882268781418885,47.77
3,13,4,4,ic0,sasm,const,1.0,2197,64,64,25,0,0.013870274459358069,1.1863946996060555,85.53505578295263,1.1882774653321204,124.88
