tag,scheme,exact,iccL,overlap,nsub,N,iter,reason,lam_min,lam_max,kappa,Nhat,omega,t_setup,t_solve,case,dim,part
casea_1D_box,0,0,0,0,8,4000,17,2,0.00014621,1.9999,13678.0,1,1.0,0.0041,0.002,a,1,box
casea_1D_box,0,0,0,1,8,4000,17,2,0.0004468,2.0,4476.2,2,1.0,0.0014,0.0012,a,1,box
casea_1D_box,0,0,0,2,8,4000,17,2,0.00074987,2.0,2667.1,2,1.0,0.0014,0.0012,a,1,box
casea_1D_box,0,0,0,3,8,4000,17,2,0.0010663,2.0,1875.7,2,1.0,0.0014,0.0012,a,1,box
casea_1D_box,0,0,0,4,8,4000,17,2,0.0013673,2.0,1462.7,2,1.0,0.0014,0.0013,a,1,box
casea_1D_box,3,0,0,0,8,4000,17,2,0.00014621,1.9999,13678.0,1,1.0,0.0016,0.0013,a,1,box
casea_1D_box,3,0,0,1,8,4000,30,2,0.00035433,2.227,6285.2,2,1.0,0.0015,0.0022,a,1,box
casea_1D_box,3,0,0,2,8,4000,32,2,0.00051827,2.5773,4972.8,2,1.0,0.0014,0.0023,a,1,box
casea_1D_box,3,0,0,3,8,4000,33,2,0.00066264,2.8562,4310.3,2,1.0,0.0014,0.0024,a,1,box
casea_1D_box,3,0,0,4,8,4000,34,2,0.00075683,3.0873,4079.2,2,1.0,0.0014,0.0025,a,1,box
casea_1D_metis,0,0,0,0,8,4000,17,2,0.0001467,1.9999,13632.0,1,1.0,0.0013,0.0012,a,1,metis
casea_1D_metis,0,0,0,1,8,4000,17,2,0.00046124,2.0,4336.1,2,1.0,0.0014,0.0012,a,1,metis
casea_1D_metis,0,0,0,2,8,4000,17,2,0.00076568,2.0,2612.0,2,1.0,0.0015,0.0012,a,1,metis
casea_1D_metis,0,0,0,3,8,4000,17,2,0.0010661,2.0,1876.1,2,1.0,0.0014,0.0012,a,1,metis
casea_1D_metis,0,0,0,4,8,4000,17,2,0.0013726,2.0,1457.1,2,1.0,0.0014,0.0012,a,1,metis
casea_1D_metis,3,0,0,0,8,4000,17,2,0.0001467,1.9999,13632.0,1,1.0,0.0014,0.0013,a,1,metis
casea_1D_metis,3,0,0,1,8,4000,29,2,0.00036626,2.2433,6125.0,2,1.0,0.0015,0.0022,a,1,metis
casea_1D_metis,3,0,0,2,8,4000,32,2,0.00053312,2.5128,4713.4,2,1.0,0.0014,0.0024,a,1,metis
casea_1D_metis,3,0,0,3,8,4000,33,2,0.00065517,2.857,4360.7,2,1.0,0.0015,0.0024,a,1,metis
casea_1D_metis,3,0,0,4,8,4000,32,2,0.00077047,2.9789,3866.4,2,1.0,0.0015,0.0024,a,1,metis
casea_2D_box,0,0,0,0,16,4900,79,2,0.0070762,1.736,245.32,1,1.2605,0.0024,0.0091,a,2,box
casea_2D_box,0,0,0,1,16,4900,100,2,0.010139,4.04,398.44,4,1.263,0.0028,0.0128,a,2,box
casea_2D_box,0,0,0,2,16,4900,104,2,0.011746,4.749,404.3,4,1.2648,0.0032,0.0143,a,2,box
casea_2D_box,0,0,0,3,16,4900,102,2,0.013437,4.9116,365.52,4,1.2663,0.0035,0.0152,a,2,box
casea_2D_box,0,0,0,4,16,4900,97,2,0.015353,5.0167,326.75,4,1.2674,0.0039,0.016,a,2,box
casea_2D_box,3,0,0,0,16,4900,79,2,0.0070762,1.736,245.32,1,1.2605,0.0024,0.0095,a,2,box
casea_2D_box,3,0,0,1,16,4900,65,2,0.0087659,1.3424,153.13,4,1.263,0.0031,0.0084,a,2,box
casea_2D_box,3,0,0,2,16,4900,64,2,0.0090195,1.3083,145.05,4,1.2648,0.0033,0.0096,a,2,box
casea_2D_box,3,0,0,3,16,4900,64,2,0.0090997,1.3283,145.97,4,1.2663,0.0036,0.0104,a,2,box
casea_2D_box,3,0,0,4,16,4900,64,2,0.0091134,1.3157,144.37,4,1.2674,0.0039,0.0107,a,2,box
casea_2D_metis,0,0,0,0,16,4900,90,2,0.0065708,1.73,263.28,1,1.2664,0.0025,0.0101,a,2,metis
casea_2D_metis,0,0,0,1,16,4900,92,2,0.0098478,3.2594,330.98,3,1.2677,0.0029,0.0115,a,2,metis
casea_2D_metis,0,0,0,2,16,4900,98,2,0.011742,4.1523,353.64,4,1.2689,0.0034,0.0137,a,2,metis
casea_2D_metis,0,0,0,3,16,4900,99,2,0.013769,4.6256,335.93,4,1.2695,0.0037,0.0153,a,2,metis
casea_2D_metis,0,0,0,4,16,4900,95,2,0.016336,4.7553,291.1,4,1.2698,0.0043,0.0162,a,2,metis
casea_2D_metis,3,0,0,0,16,4900,90,2,0.0065708,1.73,263.28,1,1.2664,0.0026,0.0107,a,2,metis
casea_2D_metis,3,0,0,1,16,4900,69,2,0.0085208,1.3817,162.16,3,1.2677,0.003,0.009,a,2,metis
casea_2D_metis,3,0,0,2,16,4900,68,2,0.008821,1.3788,156.31,4,1.2689,0.0035,0.0098,a,2,metis
casea_2D_metis,3,0,0,3,16,4900,67,2,0.0088848,1.3775,155.04,4,1.2695,0.0037,0.0108,a,2,metis
casea_2D_metis,3,0,0,4,16,4900,67,2,0.0089155,1.3911,156.03,4,1.2698,0.0042,0.0119,a,2,metis
casea_3D_box,0,0,0,0,27,8000,52,2,0.045243,2.5589,56.56,1,2.0064,0.0052,0.013,a,3,box
casea_3D_box,0,0,0,1,27,8000,54,2,0.12366,8.0537,65.129,8,2.0266,0.0078,0.0198,a,3,box
casea_3D_box,0,0,0,2,27,8000,46,2,0.21819,9.6186,44.083,8,2.0277,0.0121,0.0243,a,3,box
casea_3D_box,0,0,0,3,27,8000,38,2,0.44005,11.335,25.758,8,2.0278,0.0176,0.0277,a,3,box
casea_3D_box,0,0,0,4,27,8000,44,2,0.72014,21.097,29.296,20,2.028,0.0247,0.0436,a,3,box
