dim,S,nx,coef,rho,scheme,exact,iccL,overlap,N,iter,reason,lam_min,lam_max,kappa,Nhat,omega
1,4,257,const,1.0,0,0,0,0,257,7,2,0.0015528,1.9984,1287.0,1,1.0
1,4,257,const,1.0,0,0,0,1,257,8,2,0.0046514,2.0,429.98,2,1.0
1,4,257,const,1.0,0,0,0,2,257,8,2,0.0077413,2.0,258.35,2,1.0
1,4,257,const,1.0,0,0,0,4,257,8,2,0.013898,2.0,143.91,2,1.0
1,4,257,const,1.0,0,0,0,8,257,8,2,0.026135,2.0,76.527,2,1.0
1,4,257,const,1.0,0,0,0,16,257,8,2,0.050446,2.0,39.646,2,1.0
1,4,257,const,1.0,0,1,0,0,257,7,2,0.0015528,1.9984,1287.0,1,1.0
1,4,257,const,1.0,0,1,0,1,257,8,2,0.0046514,2.0,429.98,2,1.0
1,4,257,const,1.0,0,1,0,2,257,8,2,0.0077413,2.0,258.35,2,1.0
1,4,257,const,1.0,0,1,0,4,257,8,2,0.013898,2.0,143.91,2,1.0
1,4,257,const,1.0,0,1,0,8,257,8,2,0.026135,2.0,76.527,2,1.0
1,4,257,const,1.0,0,1,0,16,257,8,2,0.050446,2.0,39.646,2,1.0
1,4,257,const,1.0,3,0,0,0,257,7,2,0.0015528,1.9984,1287.0,1,1.0
1,4,257,const,1.0,3,0,0,1,257,12,2,0.0037,2.1547,582.37,2,1.0
1,4,257,const,1.0,3,0,0,2,257,13,2,0.0054208,2.427,447.72,2,1.0
1,4,257,const,1.0,3,0,0,4,257,13,2,0.0078594,2.8937,368.19,2,1.0
1,4,257,const,1.0,3,0,0,8,257,13,2,0.010701,3.7098,346.67,2,1.0
1,4,257,const,1.0,3,0,0,16,257,13,2,0.013364,5.2017,389.23,2,1.0
1,4,257,const,1.0,3,1,0,0,257,7,2,0.0015528,1.9984,1287.0,1,1.0
1,4,257,const,1.0,3,1,0,1,257,12,2,0.0037,2.1547,582.37,2,1.0
1,4,257,const,1.0,3,1,0,2,257,13,2,0.0054208,2.427,447.72,2,1.0
1,4,257,const,1.0,3,1,0,4,257,13,2,0.0078594,2.8937,368.19,2,1.0
1,4,257,const,1.0,3,1,0,8,257,13,2,0.010701,3.7098,346.67,2,1.0
1,4,257,const,1.0,3,1,0,16,257,13,2,0.013364,5.2017,389.23,2,1.0
2,4,49,const,1.0,0,0,0,0,2401,95,2,0.0014262,1.6571,1161.9,1,1.2324
2,4,49,const,1.0,0,0,0,1,2401,107,2,0.0018769,3.4343,1829.8,3,1.2324
2,4,49,const,1.0,0,0,0,2,2401,119,2,0.002167,4.3615,2012.7,4,1.2324
2,4,49,const,1.0,0,0,0,3,2401,121,2,0.002481,4.5048,1815.7,4,1.2324
2,4,49,const,1.0,0,0,0,4,2401,117,2,0.0028513,4.6271,1622.8,4,1.2324
2,4,49,const,1.0,0,0,0,6,2401,101,2,0.0039118,4.7225,1207.2,4,1.2324
2,4,49,const,1.0,0,1,0,0,2401,59,2,0.004251,1.9957,469.48,1,1.0
2,4,49,const,1.0,0,1,0,1,2401,44,2,0.013264,3.4542,260.41,3,1.0
2,4,49,const,1.0,0,1,0,2,2401,37,2,0.023069,4.0,173.39,4,1.0
2,4,49,const,1.0,0,1,0,3,2401,32,2,0.033727,4.0,118.6,4,1.0
2,4,49,const,1.0,0,1,0,4,2401,28,2,0.045373,4.0,88.158,4,1.0
2,4,49,const,1.0,0,1,0,6,2401,24,2,0.078672,4.0,50.844,4,1.0
2,4,49,const,1.0,3,0,0,0,2401,95,2,0.0014262,1.6571,1161.9,1,1.2324
2,4,49,const,1.0,3,0,0,1,2401,79,2,0.0016266,1.2783,785.85,3,1.2324
2,4,49,const,1.0,3,0,0,2,2401,79,2,0.0016557,1.267,765.25,4,1.2324
2,4,49,const,1.0,3,0,0,3,2401,79,2,0.0016616,1.2654,761.52,4,1.2324
2,4,49,const,1.0,3,0,0,4,2401,79,2,0.0016633,1.266,761.1,4,1.2324
2,4,49,const,1.0,3,0,0,6,2401,79,2,0.0016661,1.3183,791.25,4,1.2324
2,4,49,const,1.0,3,1,0,0,2401,59,2,0.004251,1.9957,469.48,1,1.0
2,4,49,const,1.0,3,1,0,1,2401,43,2,0.009714,2.0557,211.63,3,1.0
2,4,49,const,1.0,3,1,0,2,2401,37,2,0.014106,2.2152,157.04,4,1.0
2,4,49,const,1.0,3,1,0,3,2401,34,2,0.017644,2.3261,131.83,4,1.0
2,4,49,const,1.0,3,1,0,4,2401,32,2,0.02066,2.405,116.41,4,1.0
2,4,49,const,1.0,3,1,0,6,2401,25,2,0.027683,2.287,82.616,4,1.0
3,4,25,const,1.0,0,0,0,0,15625,80,2,0.0027308,1.638,599.83,1,1.1413
3,4,25,const,1.0,0,0,0,1,15625,96,2,0.004702,4.9159,1045.5,4,1.1415
3,4,25,const,1.0,0,0,0,2,15625,106,2,0.0068973,7.399,1072.7,7,1.1414
3,4,25,const,1.0,0,0,0,3,15625,98,2,0.01034,8.393,811.67,8,1.1415
3,4,25,const,1.0,0,0,0,4,15625,90,2,0.014039,8.9232,635.58,8,1.1416
3,4,25,const,1.0,0,0,0,5,15625,90,2,0.018529,11.684,630.56,11,1.1416
3,4,25,const,1.0,0,1,0,0,15625,60,2,0.005724,1.9943,348.41,1,1.0
3,4,25,const,1.0,0,1,0,1,15625,49,2,0.020121,4.9562,246.32,4,1.0
3,4,25,const,1.0,0,1,0,2,15625,45,2,0.039949,7.4029,185.31,7,1.0
3,4,25,const,1.0,0,1,0,3,15625,33,2,0.073866,8.0,108.3,8,1.0
3,4,25,const,1.0,0,1,0,4,15625,32,2,0.12227,8.9881,73.508,8,1.0
3,4,25,const,1.0,0,1,0,5,15625,33,2,0.1851,11.455,61.886,11,1.0
3,4,25,const,1.0,3,0,0,0,15625,80,2,0.0027308,1.638,599.83,1,1.1413
3,4,25,const,1.0,3,0,0,1,15625,64,2,0.0031913,1.2341,386.7,4,1.1415
3,4,25,const,1.0,3,0,0,2,15625,62,2,0.0032567,1.2004,368.6,7,1.1414
3,4,25,const,1.0,3,0,0,3,15625,63,2,0.0032788,1.2313,375.53,8,1.1415
3,4,25,const,1.0,3,0,0,4,15625,62,2,0.0033316,1.1974,359.39,8,1.1416
3,4,25,const,1.0,3,0,0,5,15625,61,2,0.0033676,1.2472,370.36,11,1.1416
3,4,25,const,1.0,3,1,0,0,15625,60,2,0.005724,1.9943,348.41,1,1.0
3,4,25,const,1.0,3,1,0,1,15625,41,2,0.011835,1.822,153.95,4,1.0
3,4,25,const,1.0,3,1,0,2,15625,35,2,0.016805,1.7934,106.72,7,1.0
3,4,25,const,1.0,3,1,0,3,15625,29,2,0.021037,1.6403,77.968,8,1.0
3,4,25,const,1.0,3,1,0,4,15625,26,2,0.025136,1.5916,63.321,8,1.0
3,4,25,const,1.0,3,1,0,5,15625,24,2,0.029795,1.4804,49.686,11,1.0
