dim,S,nx,coef,rho,scheme,exact,iccL,overlap,N,iter,reason,lam_min,lam_max,kappa,Nhat,omega
2,4,49,const,1.0,0,0,0,0,2401,95,2,0.0014262,1.6571,1161.9,1,1.2324
2,4,49,const,1.0,0,0,0,1,2401,107,2,0.0018769,3.4343,1829.8,3,1.2324
2,4,49,const,1.0,0,0,0,2,2401,119,2,0.002167,4.3615,2012.7,4,1.2324
2,4,49,const,1.0,0,0,0,3,2401,121,2,0.002481,4.5048,1815.7,4,1.2324
2,4,49,const,1.0,0,0,0,4,2401,117,2,0.0028513,4.6271,1622.8,4,1.2324
2,4,49,const,1.0,3,0,0,0,2401,95,2,0.0014262,1.6571,1161.9,1,1.2324
2,4,49,const,1.0,3,0,0,1,2401,79,2,0.0016266,1.2783,785.85,3,1.2324
2,4,49,const,1.0,3,0,0,2,2401,79,2,0.0016557,1.267,765.25,4,1.2324
2,4,49,const,1.0,3,0,0,3,2401,79,2,0.0016616,1.2654,761.52,4,1.2324
2,4,49,const,1.0,3,0,0,4,2401,79,2,0.0016633,1.266,761.1,4,1.2324
2,4,49,smooth,1.0,0,0,0,0,2401,97,2,0.0013745,1.6586,1206.7,1,1.2331
2,4,49,smooth,1.0,0,0,0,1,2401,111,2,0.001808,3.4351,1899.9,3,1.2331
2,4,49,smooth,1.0,0,0,0,2,2401,124,2,0.0020868,4.363,2090.7,4,1.2331
2,4,49,smooth,1.0,0,0,0,3,2401,126,2,0.0023885,4.5069,1886.9,4,1.2331
2,4,49,smooth,1.0,0,0,0,4,2401,122,2,0.0027442,4.6301,1687.2,4,1.2331
2,4,49,smooth,1.0,3,0,0,0,2401,97,2,0.0013745,1.6586,1206.7,1,1.2331
2,4,49,smooth,1.0,3,0,0,1,2401,82,2,0.0015674,1.2808,817.16,3,1.2331
2,4,49,smooth,1.0,3,0,0,2,2401,80,2,0.0015953,1.2705,796.38,4,1.2331
2,4,49,smooth,1.0,3,0,0,3,2401,80,2,0.001601,1.2686,792.4,4,1.2331
2,4,49,smooth,1.0,3,0,0,4,2401,81,2,0.0016026,1.2689,791.75,4,1.2331
2,4,49,layers,10000.0,0,0,0,0,2401,112,2,4.3325e-07,1.5187,3505300.0,1,1.2324
2,4,49,layers,10000.0,0,0,0,1,2401,141,2,5.1016e-07,3.3873,6639600.0,3,1.2324
2,4,49,layers,10000.0,0,0,0,2,2401,153,2,5.7657e-07,4.2554,7380600.0,4,1.2326
2,4,49,layers,10000.0,0,0,0,3,2401,158,2,6.5459e-07,4.6517,7106300.0,4,1.2324
2,4,49,layers,10000.0,0,0,0,4,2401,154,2,7.4732e-07,4.7401,6342700.0,4,1.2324
2,4,49,layers,10000.0,3,0,0,0,2401,112,2,4.3325e-07,1.5187,3505300.0,1,1.2324
2,4,49,layers,10000.0,3,0,0,1,2401,104,2,4.5397e-07,1.3675,3012300.0,3,1.2324
2,4,49,layers,10000.0,3,0,0,2,2401,101,2,4.5211e-07,1.2913,2856100.0,4,1.2326
2,4,49,layers,10000.0,3,0,0,3,2401,101,2,4.5226e-07,1.2699,2807900.0,4,1.2324
2,4,49,layers,10000.0,3,0,0,4,2401,99,2,4.5243e-07,1.2664,2799000.0,4,1.2324
2,4,49,layers_unaligned,10000.0,0,0,0,0,2401,121,2,5.5708e-07,1.6572,2974800.0,1,1.2323
2,4,49,layers_unaligned,10000.0,0,0,0,1,2401,131,2,7.0849e-07,3.4343,4847400.0,3,1.2324
