coef,rho,sigma,m,it_one,it_two,kap_one,kap_two
const,1.0,1000.0,4,11,12,1.9362051843955377,2.7383210993645606
const,1.0,10.0,4,56,39,89.73384914786065,19.023730167115822
const,1.0,1.0,4,65,42,886.0550537494502,23.23260493638412
const,1.0,0.1,4,69,42,8849.160796533428,23.76557557718062
const,1.0,0.01,4,72,42,88480.2070160542,23.820295855421488
const,1.0,0.0001,4,79,43,nan,nan
layers,10.0,1000.0,7,26,26,8.522488967778731,10.413142407608113
layers,10.0,10.0,7,63,44,498.73870092266196,73.79374331346703
layers,10.0,1.0,7,70,45,4751.735737450363,80.54755153600428
layers,10.0,0.1,7,73,45,47249.24608708564,81.30494668902602
layers,10.0,0.01,7,76,45,472220.6344722989,81.38161840315493
layers,10.0,0.0001,7,82,45,nan,nan
