exp,label,ksp,pc_asm_type,scheme,O,L,iter,reason,rnorm,err
exp1,BASIC+CG (ref),cg,basic,0,0,0,132,CONVERGED_RTOL,2.280e-06,5.421e-05
exp1,RAS+GMRES,gmres,restrict,0,0,0,265,CONVERGED_RTOL,1.215e-06,5.418e-05
exp1,RAS+CG,cg,restrict,0,0,0,132,CONVERGED_RTOL,2.280e-06,5.421e-05
exp1,sASM+CG (ref),cg,basic,3,0,0,132,CONVERGED_RTOL,2.280e-06,5.421e-05
exp1,BASIC+CG (ref),cg,basic,0,1,0,148,CONVERGED_RTOL,1.895e-06,5.421e-05
exp1,RAS+GMRES,gmres,restrict,0,1,0,232,CONVERGED_RTOL,1.020e-06,5.415e-05
exp1,RAS+CG,cg,restrict,0,1,0,2000,DIVERGED_ITS,7.096e-04,5.414e-05
exp1,sASM+CG (ref),cg,basic,3,1,0,104,CONVERGED_RTOL,1.810e-06,5.421e-05
exp1,BASIC+CG (ref),cg,basic,0,2,0,179,CONVERGED_RTOL,1.773e-06,5.421e-05
exp1,RAS+GMRES,gmres,restrict,0,2,0,136,CONVERGED_RTOL,1.056e-06,5.410e-05
exp1,RAS+CG,cg,restrict,0,2,0,111,CONVERGED_RTOL,1.498e-06,5.421e-05
exp1,sASM+CG (ref),cg,basic,3,2,0,103,CONVERGED_RTOL,1.910e-06,5.421e-05
exp2,BASIC (scheme0),cg,basic,0,0,0,132,CONVERGED_RTOL,2.280e-06,5.421e-05
exp2,sASM  D^-1/2 (scheme3),cg,basic,3,0,0,132,CONVERGED_RTOL,2.280e-06,5.421e-05
exp2,exp2  D^-1   (scheme5),cg,basic,5,0,0,132,CONVERGED_RTOL,2.280e-06,5.421e-05
exp2,BASIC (scheme0),cg,basic,0,0,1,102,CONVERGED_RTOL,3.191e-06,5.420e-05
exp2,sASM  D^-1/2 (scheme3),cg,basic,3,0,1,102,CONVERGED_RTOL,3.191e-06,5.420e-05
exp2,exp2  D^-1   (scheme5),cg,basic,5,0,1,102,CONVERGED_RTOL,3.191e-06,5.420e-05
exp2,BASIC (scheme0),cg,basic,0,0,2,87,CONVERGED_RTOL,4.069e-06,5.420e-05
exp2,sASM  D^-1/2 (scheme3),cg,basic,3,0,2,87,CONVERGED_RTOL,4.069e-06,5.420e-05
