# deflation comparison: n=24 nd=13824 steps=350 regime=0 nsub=64 (m: Sys1 4 Sys2 4 Sys3 8)
step,t,s1_v0,s1_v1,s1_v2,s1_v3,s1_v4,s1_v5,s2_v0,s2_v1,s2_v2,s2_v3,s2_v4,s2_v5,s3_v0,s3_v1,s3_v2,s3_v3,s3_v4,s3_v5
0,0,16,16,15,15,16,15,0,0,0,0,0,0,0,0,0,0,0,0
1,1,16,14,15,14,14,14,170,170,77,77,170,77,174,174,62,62,174,62
2,2,16,15,16,15,15,16,184,184,81,81,178,80,175,171,63,59,163,58
3,3,16,15,16,16,15,17,187,187,82,82,183,80,175,166,62,58,156,58
4,4,16,15,16,16,16,17,187,186,82,82,188,81,175,160,62,58,157,57
5,5,16,16,16,16,16,18,186,186,83,83,187,83,173,163,62,56,157,56
6,6,16,16,17,16,16,18,179,184,83,82,185,81,171,160,62,58,157,58
7,7,16,16,17,16,16,19,188,187,82,82,176,81,165,164,62,58,156,58
8,8,16,16,17,17,16,18,177,177,83,83,179,82,172,169,62,58,155,57
9,9,16,16,17,17,16,18,185,184,83,83,170,81,173,168,61,57,154,58
10,10,16,16,17,17,16,19,181,180,83,82,173,81,172,164,62,58,155,58
11,11,16,16,17,17,16,18,184,183,83,83,172,80,174,163,62,58,155,57
12,12,16,16,17,17,16,19,187,187,83,83,168,81,173,162,62,59,155,59
13,13,17,17,17,17,16,19,185,185,83,83,172,81,174,170,62,59,152,59
14,14,17,17,17,17,17,19,187,187,83,83,173,80,174,166,62,58,147,58
15,15,16,16,17,17,16,19,187,187,82,83,172,79,174,153,61,59,148,58
16,16,16,16,17,17,16,18,187,187,81,82,172,78,166,159,61,58,148,57
17,17,16,16,16,17,16,18,180,174,80,79,176,77,174,162,62,57,149,57
18,18,16,15,15,16,15,17,184,173,81,75,166,74,174,169,62,58,144,58
19,19,16,14,15,14,14,15,189,179,85,77,168,78,164,148,61,50,125,49
20,20,16,13,15,13,13,15,188,180,84,78,167,78,169,143,61,46,120,46
21,21,16,13,15,13,12,14,185,180,82,80,169,79,165,141,59,46,116,46
22,22,16,12,15,12,12,13,181,184,81,82,169,81,165,140,59,45,114,45
23,23,16,10,15,10,10,11,181,169,81,72,158,72,164,127,59,41,109,41
24,24,16,9,15,9,8,10,181,165,81,69,136,65,163,69,59,25,55,25
25,25,16,0,15,0,0,0,181,0,81,0,0,0,163,1,59,1,1,1
26,26,16,0,15,0,0,0,181,0,80,0,0,0,163,1,59,1,1,1
27,27,16,0,15,0,0,0,181,0,80,0,0,0,162,1,59,1,1,1
28,28,16,0,15,0,0,0,181,0,80,0,0,0,162,0,59,0,0,0
29,29,16,0,15,0,0,0,181,0,80,0,0,0,161,1,59,1,1,1
30,30,16,0,15,0,0,0,180,0,80,0,0,0,161,0,58,0,0,0
31,31,16,0,15,0,0,0,180,0,80,0,0,0,161,0,58,0,0,0
32,32,16,0,15,0,0,0,180,1,80,1,1,1,161,1,58,1,1,1
33,33,16,0,15,0,0,0,180,1,80,1,1,1,160,1,58,1,1,1
34,34,16,0,15,0,0,0,179,0,80,0,0,0,160,0,58,0,0,0
35,35,16,0,15,0,0,0,179,0,79,0,0,0,160,0,58,0,0,0
36,36,16,0,15,0,0,0,179,1,79,1,1,1,160,1,58,1,1,1
37,37,16,0,15,0,0,0,179,1,79,1,1,1,160,1,58,1,1,1
38,38,16,0,15,0,0,0,179,0,79,0,0,0,160,1,58,1,1,1
39,39,16,0,15,0,0,0,178,0,79,0,0,0,160,1,58,1,1,1
40,40,16,0,15,0,0,0,178,0,78,0,0,0,160,1,58,1,1,1
41,41,16,0,15,0,0,0,178,1,78,1,1,1,160,0,58,0,0,0
42,42,16,0,15,0,0,0,178,1,78,1,1,1,160,0,58,0,0,0
43,43,16,0,15,0,0,0,178,0,78,0,0,0,160,0,58,0,0,0
44,44,16,0,15,0,0,0,178,0,78,0,0,0,160,0,58,0,0,0
45,45,16,0,15,0,0,0,178,0,78,0,0,0,160,0,58,0,0,0
46,46,16,0,15,0,0,0,177,0,78,0,0,0,160,0,57,0,0,0
47,47,16,0,15,0,0,0,177,0,78,0,0,0,160,0,57,0,0,0
48,48,16,0,15,0,0,0,177,1,78,1,1,1,160,0,57,0,0,0
49,49,16,0,15,0,0,0,177,1,78,1,1,1,159,0,57,0,0,0
50,50,16,0,15,0,0,0,177,0,78,0,0,0,159,0,57,0,0,0
51,51,16,0,15,0,0,0,177,0,78,0,0,0,159,0,57,0,0,0
52,52,16,0,15,0,0,0,177,0,78,0,0,0,159,1,57,1,1,1
53,53,16,0,15,0,0,0,177,0,78,0,0,0,159,1,57,1,1,1
54,54,16,0,15,0,0,0,176,0,78,0,0,0,159,1,57,1,1,1
55,55,16,0,15,0,0,0,176,0,78,0,0,0,159,1,57,1,1,1
56,56,16,0,15,0,0,0,176,1,78,1,1,1,159,1,57,1,1,1
57,57,16,0,15,0,0,0,176,1,78,1,1,1,159,0,57,0,0,0
58,58,16,0,15,0,0,0,176,0,77,0,0,0,159,0,57,0,0,0
59,59,16,0,15,0,0,0,176,0,77,0,0,0,159,0,57,0,0,0
60,60,16,0,15,0,0,0,176,0,77,0,0,0,159,0,57,0,0,0
61,61,16,0,15,0,0,0,176,0,77,0,0,0,159,0,57,0,0,0
62,62,16,0,15,0,0,0,176,0,77,0,0,0,159,0,57,0,0,0
63,63,16,0,15,0,0,0,176,0,77,0,0,0,159,0,57,0,0,0
64,64,16,0,15,0,0,0,176,0,77,0,0,0,159,0,57,0,0,0
65,65,16,0,15,0,0,0,176,0,77,0,0,0,159,0,57,0,0,0
66,66,16,0,15,0,0,0,176,0,77,0,0,0,159,0,57,0,0,0
67,67,16,0,15,0,0,0,176,0,77,0,0,0,159,0,57,0,0,0
68,68,16,0,15,0,0,0,176,0,77,0,0,0,159,0,57,0,0,0
