# n=24 nd=13824 steps=350 window=16 big=64 regime=0 C1=0.50 gcut=1e-12
step,t,s1_cold,s1_warm,s1_cur,s1_sw,s1_swb,s2_cold,s2_warm,s2_cur,s2_sw,s2_swb,s3_cold,s3_warm,s3_cur,s3_sw,s3_swb
0,0,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0
1,1,16,14,14,14,14,170,170,170,170,170,174,174,174,174,174
2,2,16,15,15,15,15,184,184,184,184,184,175,173,171,171,171
3,3,16,15,15,15,15,187,185,187,187,187,175,171,166,166,166
4,4,16,15,15,15,15,187,185,186,186,186,175,166,160,160,160
5,5,16,16,16,16,16,186,185,186,186,186,173,165,163,163,163
6,6,16,16,16,16,16,179,178,184,184,184,171,164,160,160,160
7,7,16,16,16,16,16,188,186,187,187,187,165,169,164,164,164
8,8,16,16,16,16,16,177,186,177,177,177,172,169,169,169,169
9,9,16,16,16,16,16,185,186,184,184,184,173,167,168,168,168
10,10,16,16,16,16,16,181,187,181,181,181,172,159,164,164,164
11,11,16,16,16,16,16,184,185,183,183,183,174,161,163,163,163
12,12,16,17,16,16,16,187,183,187,187,187,173,162,162,162,162
13,13,17,17,16,16,16,185,183,185,185,185,174,166,170,170,170
14,14,17,17,16,16,16,187,183,187,187,187,174,170,166,166,166
15,15,16,17,16,16,16,187,184,187,187,187,174,174,152,152,152
16,16,16,17,16,16,16,187,187,187,187,187,166,177,159,159,159
17,17,16,16,16,15,15,180,190,176,176,176,174,178,159,159,159
18,18,16,15,15,15,13,184,191,160,160,160,174,176,169,154,154
19,19,16,14,13,12,12,189,190,164,164,166,164,172,170,127,120
20,20,16,13,12,10,9,188,189,169,156,154,169,171,165,116,114
21,21,16,13,12,8,8,185,190,176,151,151,165,159,162,119,115
22,22,16,12,12,8,8,181,188,182,154,154,165,151,162,72,49
23,23,16,11,12,7,7,181,138,179,145,145,164,125,149,55,42
24,24,16,11,12,7,7,181,91,184,134,130,163,100,161,63,40
25,25,16,11,12,6,6,181,91,174,130,122,163,100,165,67,37
26,26,16,11,12,5,6,181,91,178,128,119,163,100,163,52,34
27,27,16,11,12,5,6,181,91,179,0,116,162,100,160,50,33
28,28,16,11,12,5,6,181,91,177,0,0,162,100,159,43,31
29,29,16,11,11,5,6,181,90,183,0,0,161,100,160,44,30
30,30,16,11,11,0,5,180,90,179,0,0,161,100,154,46,29
31,31,16,11,11,0,5,180,90,178,0,0,161,99,149,0,28
32,32,16,11,11,0,5,180,90,176,0,0,161,99,146,1,27
33,33,16,11,11,0,5,180,89,165,0,0,160,99,156,1,26
34,34,16,11,10,0,5,179,89,161,0,0,160,99,161,0,25
35,35,16,11,10,0,5,179,88,157,0,0,160,99,171,0,24
36,36,16,11,11,0,5,179,88,183,0,0,160,99,170,0,24
37,37,16,11,16,0,5,179,88,182,0,0,160,99,164,0,23
38,38,16,11,15,0,5,179,88,182,0,0,160,99,161,0,23
39,39,16,11,13,0,5,178,88,182,0,0,160,99,161,0,22
40,40,16,11,12,0,5,178,88,178,0,0,160,99,148,1,21
41,41,16,11,12,0,5,178,87,182,0,0,160,98,160,1,21
42,42,16,11,12,0,5,178,87,173,0,0,160,98,163,1,21
43,43,16,11,12,0,5,178,87,179,0,0,160,98,162,1,20
44,44,16,11,12,0,5,178,87,178,0,0,160,98,160,1,20
45,45,16,11,12,0,5,178,87,177,0,0,160,98,160,1,19
46,46,16,11,12,0,5,177,87,182,1,0,160,98,161,1,19
47,47,16,11,12,0,5,177,87,179,0,0,160,98,156,0,18
48,48,16,11,12,0,4,177,87,179,0,0,160,98,155,0,18
49,49,16,11,12,0,4,177,86,176,0,0,159,98,147,0,18
50,50,16,11,12,0,4,177,86,166,0,0,159,97,156,0,17
51,51,16,11,12,0,4,177,86,172,0,0,159,97,162,0,17
52,52,16,11,13,0,4,177,86,160,0,0,159,97,171,0,17
53,53,16,11,12,0,4,177,86,183,1,0,159,97,170,0,16
54,54,16,11,16,0,4,176,86,181,1,0,159,97,163,0,16
55,55,16,11,15,0,4,176,86,182,0,0,159,97,161,1,16
56,56,16,11,13,0,4,176,86,181,0,0,159,97,160,1,16
57,57,16,11,13,0,4,176,86,178,0,0,159,97,147,1,15
58,58,16,11,13,0,4,176,86,182,0,0,159,97,160,1,15
59,59,16,11,13,0,4,176,86,173,0,0,159,96,162,1,15
60,60,16,11,13,0,4,176,86,179,1,0,159,96,162,1,15
61,61,16,11,13,0,4,176,86,178,1,0,159,96,160,1,14
62,62,16,11,13,0,4,176,86,176,1,0,159,96,160,1,14
63,63,16,11,12,0,4,176,86,182,1,0,159,96,161,1,14
64,64,16,11,12,0,4,176,86,179,1,0,159,96,157,1,14
65,65,16,11,12,0,4,176,85,179,1,0,159,96,156,0,13
66,66,16,11,12,0,4,176,85,177,1,0,159,96,147,0,14
67,67,16,11,12,0,4,176,85,167,1,0,159,96,157,0,14
68,68,16,11,13,0,4,176,85,175,0,0,159,96,162,0,13
69,69,16,11,13,0,4,175,85,162,0,0,159,96,171,0,13
70,70,16,11,13,0,4,175,85,183,0,0,159,96,170,0,13
71,71,16,11,16,0,2,174,85,181,0,0,159,96,163,0,13
72,72,16,11,15,0,2,174,85,182,0,0,159,96,161,0,16
73,73,16,11,13,0,2,173,85,181,0,0,159,96,160,0,19
74,74,16,11,13,0,2,173,85,177,0,0,159,96,147,0,13
75,75,16,11,13,0,3,173,85,182,0,0,159,96,159,0,13
76,76,16,11,13,0,3,173,85,173,0,0,159,96,162,0,13
77,77,16,11,13,0,3,173,85,179,0,0,159,96,162,0,11
78,78,16,11,13,0,0,173,85,178,0,0,159,96,160,0,15
79,79,16,11,13,0,0,173,85,176,1,0,159,96,160,0,15
80,80,16,11,13,0,0,173,85,182,1,0,159,96,161,0,14
81,81,16,11,13,0,0,173,85,179,1,0,159,95,157,0,15
82,82,16,11,13,0,0,173,85,179,1,0,159,95,156,0,1
83,83,16,11,13,0,0,173,85,177,1,0,159,95,147,0,1
84,84,16,11,13,0,0,173,85,167,1,0,159,95,157,0,1
85,85,16,11,13,0,0,173,85,176,1,0,159,95,162,0,1
86,86,16,11,13,0,0,173,85,165,1,0,159,95,170,0,1
87,87,16,11,13,0,0,173,85,183,1,0,159,95,169,0,1
88,88,16,11,16,0,0,173,85,181,0,0,159,95,163,0,1
89,89,16,11,15,0,0,172,85,182,0,0,159,95,161,0,1
90,90,16,11,14,0,0,172,85,181,0,0,158,95,160,0,1
91,91,16,11,13,0,0,172,85,177,0,0,158,95,147,0,0
92,92,16,11,13,0,0,172,85,181,0,0,158,95,159,0,0
93,93,16,11,13,0,0,172,85,173,0,0,158,95,162,0,0
94,94,16,11,13,0,0,172,84,179,0,0,158,95,162,0,0
95,95,16,11,13,0,0,172,84,178,1,0,158,95,160,0,0
96,96,16,11,13,0,0,172,84,176,1,0,158,95,160,1,0
97,97,16,11,13,0,0,172,84,182,1,0,158,95,161,1,0
98,98,16,11,13,0,0,172,84,179,1,0,158,95,157,1,0
99,99,16,11,13,0,0,172,84,179,1,0,158,95,156,1,0
100,100,16,11,13,0,0,172,84,177,1,0,158,95,147,1,0
101,101,16,11,13,0,0,172,84,167,1,0,158,95,157,1,0
102,102,16,11,13,0,0,172,84,176,1,0,158,95,162,1,0
103,103,16,11,14,0,0,172,84,167,1,0,158,94,170,1,0
104,104,16,11,14,0,0,172,84,183,0,0,158,94,169,1,0
