# n=24 nd=13824 beats=3 window=16 regime=0 sweeps=3
step,t,nb,cold,warm,f_old,f_rel,f_res,f_div,vmfit,aopt,phys,warmdelta,warmdelta12,enrich,sw_div,sw_big,eta,eA_vmfit,eA_aopt,eA_old,eA_rel,span_old,span_rel,m_old,m_rel,orth_old,orth_rel
1,1,1.797710e+01,170,170,170,170,170,170,170,170,167,165,155,165,170,170,1.0000e+00,2.076134e+01,2.076134e+01,2.076134e+01,2.076134e+01,0.0000e+00,0.0000e+00,0,0,0.00e+00,0.00e+00
2,2,2.864629e+01,184,184,184,184,184,184,184,184,180,179,172,183,184,184,8.5183e-01,5.677821e+01,4.254239e+01,4.254239e+01,4.254239e+01,2.4778e-14,2.4778e-14,1,1,0.00e+00,0.00e+00
3,3,4.297715e+01,187,185,187,187,187,187,184,187,182,180,172,184,187,187,7.3945e-01,9.035142e+01,6.538805e+01,6.538805e+01,6.538805e+01,5.2885e-15,5.2885e-15,2,2,3.76e-15,3.76e-15
4,4,5.815338e+01,187,185,186,186,186,186,185,186,180,180,172,184,186,186,6.6413e-01,1.251730e+02,8.863322e+01,8.863322e+01,8.863322e+01,4.7596e-15,4.7596e-15,3,3,3.76e-15,3.76e-15
5,5,7.438781e+01,186,185,186,186,186,186,184,186,182,179,171,184,186,186,6.1258e-01,1.600438e+02,1.128323e+02,1.128323e+02,1.128323e+02,4.9191e-15,4.9191e-15,4,4,3.76e-15,3.76e-15
6,6,9.119931e+01,179,178,184,184,184,184,178,184,177,173,165,181,184,184,5.7809e-01,1.867064e+02,1.265403e+02,1.265403e+02,1.265403e+02,2.6061e-15,2.6061e-15,5,5,3.76e-15,3.76e-15
7,7,8.657799e+01,188,186,187,187,187,187,185,187,182,180,172,186,187,187,5.3402e-01,1.916856e+02,1.211980e+02,1.211980e+02,1.211980e+02,1.5316e-15,1.5316e-15,6,6,3.76e-15,3.76e-15
8,8,8.432703e+01,177,186,177,177,177,177,185,177,172,180,172,175,177,177,5.0680e-01,1.828000e+02,1.203151e+02,1.203151e+02,1.203151e+02,7.6269e-15,7.6269e-15,7,7,3.76e-15,3.76e-15
9,9,8.282523e+01,185,186,184,184,184,184,181,184,177,180,172,183,184,184,4.9651e-01,1.787992e+02,1.208640e+02,1.208640e+02,1.208640e+02,5.4603e-15,5.4603e-15,8,8,3.76e-15,3.76e-15
10,10,8.354470e+01,181,187,181,181,181,181,186,181,172,181,173,177,181,181,5.0099e-01,1.769442e+02,1.231100e+02,1.231100e+02,1.231100e+02,2.9631e-15,2.9631e-15,9,9,3.76e-15,3.76e-15
11,11,8.263931e+01,184,185,183,183,183,183,185,183,175,180,171,185,183,183,5.2107e-01,1.745320e+02,1.251890e+02,1.251890e+02,1.251890e+02,2.5536e-15,2.5536e-15,10,10,3.76e-15,3.76e-15
12,12,8.355826e+01,187,183,187,187,187,187,184,187,180,178,169,186,187,187,5.6403e-01,1.677292e+02,1.259570e+02,1.259570e+02,1.259570e+02,5.8932e-15,5.8932e-15,11,11,3.76e-15,3.76e-15
13,13,7.397381e+01,185,183,185,185,185,185,181,185,179,177,167,184,185,185,6.1736e-01,1.459064e+02,1.074423e+02,1.074423e+02,1.074423e+02,1.5016e-15,1.5016e-15,12,12,3.76e-15,3.76e-15
14,14,5.779050e+01,187,183,187,187,187,187,185,187,178,177,168,185,187,187,6.2480e-01,1.136440e+02,8.360216e+01,8.360216e+01,8.360216e+01,1.9023e-15,1.9023e-15,13,13,3.76e-15,3.76e-15
15,15,4.565413e+01,187,184,187,187,187,187,184,187,177,178,169,186,187,187,6.6323e-01,8.391047e+01,6.579150e+01,6.579150e+01,6.579150e+01,3.6128e-15,3.6128e-15,14,14,3.76e-15,3.76e-15
16,16,3.381186e+01,187,187,187,187,187,187,175,187,171,182,173,186,187,187,7.4657e-01,5.637040e+01,4.761342e+01,4.761342e+01,4.761342e+01,1.2243e-15,1.2243e-15,15,15,3.76e-15,3.76e-15
17,17,1.949896e+01,180,190,176,176,176,176,168,176,165,185,175,177,176,176,8.0844e-01,2.507478e+01,2.351714e+01,2.351714e+01,2.351714e+01,1.2626e-15,1.2626e-15,16,16,3.76e-15,3.76e-15
18,18,3.666325e+00,184,191,160,160,184,160,159,160,176,186,177,161,162,160,6.2360e-02,2.271967e+00,2.268091e+00,2.268026e+00,2.268026e+00,1.7386e-03,1.7386e-03,16,16,2.08e-15,2.08e-15
19,19,9.802868e-01,189,190,164,164,178,164,164,164,181,184,174,164,174,166,5.3968e-02,7.007526e-01,2.607865e-01,2.583893e-01,2.583893e-01,2.2483e-02,2.2483e-02,16,16,2.89e-15,2.89e-15
20,20,7.293168e-01,188,189,169,169,177,169,150,156,177,183,175,156,157,154,1.1840e-02,3.266895e-02,2.732537e-02,1.219750e-01,1.219750e-01,5.5868e-02,5.5868e-02,16,16,2.89e-15,2.89e-15
21,21,4.483909e-01,185,190,176,176,179,161,150,151,177,185,177,151,152,151,4.8424e-03,8.681434e-03,8.370558e-03,1.516087e-01,1.516087e-01,1.0694e-01,1.0694e-01,16,16,2.89e-15,2.89e-15
22,22,1.900012e-01,181,188,182,182,168,183,151,154,179,183,175,154,154,154,3.2592e-03,6.031981e-03,5.353670e-03,1.749248e-01,1.749248e-01,2.1241e-01,2.1241e-01,16,16,2.89e-15,2.89e-15
23,23,1.895734e-01,181,138,179,179,166,172,141,145,177,146,139,145,160,145,7.0568e-04,2.138058e-03,1.790430e-03,1.831320e-01,1.831320e-01,2.8298e-01,2.8298e-01,16,16,2.89e-15,2.89e-15
24,24,2.046372e-01,181,91,184,184,150,169,139,134,169,113,114,134,162,130,4.6932e-04,1.330412e-03,2.241294e-04,1.796179e-01,1.796179e-01,2.6008e-01,2.6008e-01,16,16,2.89e-15,2.89e-15
25,25,2.199301e-01,181,91,174,174,0,183,114,130,171,113,114,131,0,122,7.8848e-05,1.862881e-04,1.475014e-04,1.794410e-01,1.794410e-01,2.4361e-01,2.4361e-01,16,16,2.89e-15,2.89e-15
