# window sweep: n=24 nd=13824 steps=350 regime=2 gcut=1e-12
step,t,s1_cold,s1_m4,s1_m8,s1_m12,s1_m16,s1_m24,s1_m32,s1_m48,s1_m64,s2_cold,s2_m4,s2_m8,s2_m12,s2_m16,s2_m24,s2_m32,s2_m48,s2_m64,s3_cold,s3_m4,s3_m8,s3_m12,s3_m16,s3_m24,s3_m32,s3_m48,s3_m64
0,0,16,16,16,16,16,16,16,16,16,107,107,107,107,107,107,107,107,107,114,114,114,114,114,114,114,114,114
1,1,16,16,16,16,16,16,16,16,16,160,159,159,159,159,159,159,159,159,144,140,140,140,140,140,140,140,140
2,2,15,13,13,13,13,13,13,13,13,162,136,136,136,136,136,136,136,136,151,133,133,133,133,133,133,133,133
3,3,16,11,11,11,11,11,11,11,11,165,128,128,128,128,128,128,128,128,146,110,110,110,110,110,110,110,110
4,4,16,2,2,2,2,2,2,2,2,166,13,13,13,13,13,13,13,13,144,9,9,9,9,9,9,9,9
5,5,16,2,2,2,2,2,2,2,2,159,9,11,11,11,11,11,11,11,143,15,13,13,13,13,13,13,13
6,6,15,1,1,1,1,1,1,1,1,159,7,10,10,10,10,10,10,10,146,11,12,12,12,12,12,12,12
7,7,16,1,1,1,1,1,1,1,1,164,14,8,8,8,8,8,8,8,145,7,6,6,6,6,6,6,6
8,8,16,2,0,0,0,0,0,0,0,168,18,9,9,9,9,9,9,9,144,5,2,2,2,2,2,2,2
9,9,16,1,0,0,0,0,0,0,0,165,8,2,1,1,1,1,1,1,146,5,5,6,6,6,6,6,6
10,10,15,0,0,0,0,0,0,0,0,162,7,1,0,0,0,0,0,0,146,11,3,2,2,2,2,2,2
11,11,15,1,0,0,0,0,0,0,0,140,5,0,0,0,0,0,0,0,138,5,0,0,0,0,0,0,0
12,12,16,2,0,0,0,0,0,0,0,165,20,1,0,0,0,0,0,0,144,5,0,0,0,0,0,0,0
13,13,16,2,0,0,0,0,0,0,0,168,18,4,1,1,1,1,1,1,146,10,3,2,2,2,2,2,2
14,14,16,1,0,0,0,0,0,0,0,166,3,1,0,0,0,0,0,0,148,8,2,2,3,3,3,3,3
15,15,16,3,0,0,0,0,0,0,0,165,29,1,0,0,0,0,0,0,146,19,0,0,0,0,0,0,0
16,16,16,1,0,0,0,0,0,0,0,164,7,0,0,0,0,0,0,0,144,5,0,0,0,0,0,0,0
17,17,16,1,1,0,0,0,0,0,0,166,5,7,5,0,0,0,0,0,144,9,4,0,0,0,0,0,0
18,18,15,1,0,0,0,0,0,0,0,165,3,2,1,0,0,0,0,0,146,12,4,1,0,0,0,0,0
19,19,16,1,0,0,0,0,0,0,0,166,4,2,1,0,0,0,0,0,145,5,0,0,0,0,0,0,0
20,20,16,1,0,0,0,0,0,0,0,167,3,1,2,0,0,0,0,0,145,5,0,0,0,0,0,0,0
21,21,16,1,0,0,0,0,0,0,0,170,9,3,4,4,4,4,4,4,146,6,3,1,0,0,0,0,0
22,22,16,0,0,0,0,0,0,0,0,145,4,1,0,0,0,0,0,0,140,5,2,0,0,0,0,0,0
23,23,16,0,0,0,0,0,0,0,0,164,12,0,0,0,0,0,0,0,144,4,0,0,0,0,0,0,0
24,24,16,0,0,0,0,0,0,0,0,166,14,0,0,0,0,0,0,0,145,7,0,0,0,0,0,0,0
25,25,15,0,0,0,0,0,0,0,0,169,6,1,1,4,0,0,0,0,147,5,5,3,1,0,0,0,0
26,26,15,3,1,0,0,0,0,0,0,166,25,1,1,0,0,0,0,0,146,15,3,1,1,0,0,0,0
27,27,16,2,0,0,0,0,0,0,0,161,9,0,0,0,0,0,0,0,143,5,0,0,0,0,0,0,0
28,28,16,1,1,0,0,0,0,0,0,161,5,3,0,0,0,0,0,0,144,7,4,0,0,0,0,0,0
29,29,15,0,1,0,0,0,0,0,0,165,9,3,0,0,0,0,0,0,146,11,5,0,0,0,0,0,0
30,30,15,5,0,0,0,0,0,0,0,169,48,1,1,1,0,0,0,0,146,120,2,2,2,0,0,0,0
31,31,16,1,0,0,0,0,0,0,0,164,7,0,0,0,0,0,0,0,146,7,0,0,0,0,0,0,0
32,32,16,2,0,0,0,0,0,0,0,161,11,0,0,0,0,0,0,0,145,7,1,0,0,0,0,0,0
33,33,16,2,0,0,0,0,0,0,0,142,12,1,0,0,0,0,0,0,141,10,5,5,4,4,4,4,4
34,34,16,1,1,0,0,0,0,0,0,165,24,19,1,1,0,0,0,0,145,12,6,0,0,0,0,0,0
35,35,16,0,1,0,0,0,0,0,0,167,24,10,2,0,0,0,0,0,145,7,3,1,0,0,0,0,0
36,36,15,0,0,0,0,0,0,0,0,164,11,1,0,0,0,0,0,0,145,4,3,3,0,0,0,0,0
37,37,15,2,1,1,0,0,0,0,0,161,4,0,0,0,0,0,0,0,150,8,8,9,7,7,6,5,5
38,38,16,2,1,1,1,1,1,1,1,159,5,1,0,0,0,0,0,0,141,4,1,0,0,0,0,0,0
39,39,16,2,0,0,0,0,0,0,0,165,14,3,1,1,1,0,0,0,143,5,0,0,0,0,0,0,0
40,40,16,1,0,0,0,0,0,0,0,164,5,0,0,0,0,0,0,0,144,10,0,0,0,0,0,0,0
41,41,15,0,0,0,0,0,0,0,0,162,3,0,0,0,0,0,0,0,149,12,6,6,5,5,5,4,4
