eps,O,L,iter,reason,err
0.0,1,0,141,CONVERGED_RTOL,5.421e-05
0.0,1,1,110,CONVERGED_RTOL,5.422e-05
0.0,1,2,93,CONVERGED_RTOL,5.421e-05
0.0,2,0,142,CONVERGED_RTOL,5.421e-05
0.0,2,1,108,CONVERGED_RTOL,5.421e-05
0.0,2,2,104,CONVERGED_RTOL,5.420e-05
0.0,3,0,142,CONVERGED_RTOL,5.421e-05
0.0,3,1,108,CONVERGED_RTOL,5.421e-05
0.0,3,2,106,CONVERGED_RTOL,5.420e-05
0.1,1,0,131,CONVERGED_RTOL,5.421e-05
0.1,1,1,97,CONVERGED_RTOL,5.421e-05
0.1,1,2,93,CONVERGED_RTOL,5.420e-05
0.1,2,0,124,CONVERGED_RTOL,5.422e-05
0.1,2,1,98,CONVERGED_RTOL,5.420e-05
0.1,2,2,96,CONVERGED_RTOL,5.421e-05
0.1,3,0,124,CONVERGED_RTOL,5.422e-05
0.1,3,1,98,CONVERGED_RTOL,5.420e-05
0.1,3,2,96,CONVERGED_RTOL,5.421e-05
0.25,1,0,113,CONVERGED_RTOL,5.421e-05
0.25,1,1,87,CONVERGED_RTOL,5.420e-05
0.25,1,2,84,CONVERGED_RTOL,5.420e-05
0.25,2,0,112,CONVERGED_RTOL,5.421e-05
0.25,2,1,88,CONVERGED_RTOL,5.420e-05
0.25,2,2,83,CONVERGED_RTOL,5.421e-05
0.25,3,0,111,CONVERGED_RTOL,5.421e-05
0.25,3,1,91,CONVERGED_RTOL,5.420e-05
0.25,3,2,83,CONVERGED_RTOL,5.421e-05
0.5,1,0,101,CONVERGED_RTOL,5.421e-05
0.5,1,1,75,CONVERGED_RTOL,5.420e-05
0.5,1,2,71,CONVERGED_RTOL,5.420e-05
0.5,2,0,100,CONVERGED_RTOL,5.421e-05
0.5,2,1,77,CONVERGED_RTOL,5.420e-05
0.5,2,2,67,CONVERGED_RTOL,5.421e-05
0.5,3,0,99,CONVERGED_RTOL,5.421e-05
0.5,3,1,77,CONVERGED_RTOL,5.420e-05
0.5,3,2,66,CONVERGED_RTOL,5.421e-05
0.7,1,0,100,CONVERGED_RTOL,5.421e-05
0.7,1,1,71,CONVERGED_RTOL,5.420e-05
0.7,1,2,66,CONVERGED_RTOL,5.420e-05
0.7,2,0,98,CONVERGED_RTOL,5.421e-05
0.7,2,1,72,CONVERGED_RTOL,5.420e-05
0.7,2,2,62,CONVERGED_RTOL,5.421e-05
0.7,3,0,98,CONVERGED_RTOL,5.421e-05
0.7,3,1,73,CONVERGED_RTOL,5.420e-05
0.7,3,2,61,CONVERGED_RTOL,5.421e-05
1.0,1,0,104,CONVERGED_RTOL,5.421e-05
1.0,1,1,75,CONVERGED_RTOL,5.421e-05
1.0,1,2,70,CONVERGED_RTOL,5.420e-05
1.0,2,0,103,CONVERGED_RTOL,5.421e-05
1.0,2,1,73,CONVERGED_RTOL,5.420e-05
1.0,2,2,67,CONVERGED_RTOL,5.421e-05
1.0,3,0,102,CONVERGED_RTOL,5.421e-05
1.0,3,1,74,CONVERGED_RTOL,5.420e-05
1.0,3,2,66,CONVERGED_RTOL,5.421e-05
