ksp,O,L,restart,iter,min_time_s
gmres,1,0,30,232,0.286
gmres,1,0,60,147,0.219
gmres,1,0,120,95,0.201
gmres,1,1,30,92,0.126
gmres,1,1,60,74,0.119
gmres,1,1,120,71,0.136
gmres,1,2,30,96,0.149
gmres,1,2,60,66,0.128
gmres,1,2,120,64,0.128
gmres,2,0,30,136,0.175
gmres,2,0,60,127,0.219
gmres,2,0,120,92,0.201
gmres,2,1,30,85,0.116
gmres,2,1,60,66,0.118
gmres,2,1,120,64,0.116
gmres,2,2,30,79,0.126
gmres,2,2,60,57,0.113
gmres,2,2,120,57,0.112
gmres,3,0,30,149,0.197
gmres,3,0,60,125,0.218
gmres,3,0,120,92,0.198
gmres,3,1,30,85,0.122
gmres,3,1,60,64,0.111
gmres,3,1,120,62,0.112
gmres,3,2,30,69,0.116
gmres,3,2,60,51,0.102
gmres,3,2,120,51,0.102
gmres,2,0,240,92,0.195
gmres,2,0,600,92,0.193
gmres,2,1,240,64,0.120
gmres,2,1,600,64,0.118
