step,t_ms,e0,e1,e2,e3,e4,e5,e6,e7
1,0.0100,-7.3162260924e-04,-6.5596533372e-04,-5.8721510595e-04,-5.2070243730e-04,-5.7934918554e-04,-5.3823791619e-04,-4.9918512251e-04,-4.5973344980e-04
2,0.0200,-1.4632452185e-03,-1.3119306674e-03,-1.1744302119e-03,-1.0414048746e-03,-1.1586983711e-03,-1.0764758324e-03,-9.9837024503e-04,-9.1946689960e-04
3,0.0300,-2.1948678277e-03,-1.9678960012e-03,-1.7616453179e-03,-1.5621073119e-03,-1.7380475566e-03,-1.6147137486e-03,-1.4975553675e-03,-1.3792003494e-03
4,0.0400,-2.9264904370e-03,-2.6238613349e-03,-2.3488604238e-03,-2.0828097492e-03,-2.3173967422e-03,-2.1529516648e-03,-1.9967404901e-03,-1.8389337992e-03
5,0.0500,-3.6581130462e-03,-3.2798266686e-03,-2.9360755298e-03,-2.6035121865e-03,-2.8967459277e-03,-2.6911895809e-03,-2.4959256126e-03,-2.2986672490e-03
6,0.0600,-4.3897356554e-03,-3.9357920023e-03,-3.5232906357e-03,-3.1242146238e-03,-3.4760951133e-03,-3.2294274971e-03,-2.9951107351e-03,-2.7584006988e-03
7,0.0700,-5.1213582647e-03,-4.5917573360e-03,-4.1105057417e-03,-3.6449170611e-03,-4.0554442988e-03,-3.7676654133e-03,-3.4942958576e-03,-3.2181341486e-03
8,0.0800,-5.8529808739e-03,-5.2477226697e-03,-4.6977208476e-03,-4.1656194984e-03,-4.6347934843e-03,-4.3059033295e-03,-3.9934809801e-03,-3.6778675984e-03
9,0.0900,-6.5846034832e-03,-5.9036880035e-03,-5.2849359536e-03,-4.6863219357e-03,-5.2141426699e-03,-4.8441412457e-03,-4.4926661026e-03,-4.1376010482e-03
10,0.1000,-7.3162260924e-03,-6.5596533372e-03,-5.8721510595e-03,-5.2070243730e-03,-5.7934918554e-03,-5.3823791619e-03,-4.9918512251e-03,-4.5973344980e-03
11,0.1100,-8.0478487017e-03,-7.2156186709e-03,-6.4593661655e-03,-5.7277268103e-03,-6.3728410410e-03,-5.9206170781e-03,-5.4910363477e-03,-5.0570679478e-03
12,0.1200,-8.7794713109e-03,-7.8715840046e-03,-7.0465812714e-03,-6.2484292476e-03,-6.9521902265e-03,-6.4588549943e-03,-5.9902214702e-03,-5.5168013976e-03
13,0.1300,-9.5110939201e-03,-8.5275493383e-03,-7.6337963774e-03,-6.7691316849e-03,-7.5315394121e-03,-6.9970929105e-03,-6.4894065927e-03,-5.9765348474e-03
14,0.1400,-1.0242716529e-02,-9.1835146720e-03,-8.2210114833e-03,-7.2898341222e-03,-8.1108885976e-03,-7.5353308266e-03,-6.9885917152e-03,-6.4362682972e-03
15,0.1500,-1.0974339139e-02,-9.8394800058e-03,-8.8082265893e-03,-7.8105365595e-03,-8.6902377831e-03,-8.0735687428e-03,-7.4877768377e-03,-6.8960017470e-03
