# asm_stride_test  n=24 nd=13824 steps=6000 dt=0.01 ms (T=60 ms) stride=50 (Sys2/Sys3 every 0.5 ms) win=16/64 regime=0 pc=sASM+IC(0) nsub=4 ovl=1 setup=0.001 s
step,t_ms,s1_v0,s1_v1,s1_v2,s1_v3,s2_v0,s2_v1,s2_v2,s2_v3,s3_v0,s3_v1,s3_v2,s3_v3
0,0.0000,7,7,7,7,0,0,0,0,0,0,0,0
1,0.0100,7,1,2,2,-,-,-,-,-,-,-,-
2,0.0200,7,1,2,2,-,-,-,-,-,-,-,-
3,0.0300,7,1,0,0,-,-,-,-,-,-,-,-
4,0.0400,7,1,0,0,-,-,-,-,-,-,-,-
5,0.0500,7,1,0,0,-,-,-,-,-,-,-,-
6,0.0600,7,1,0,0,-,-,-,-,-,-,-,-
7,0.0700,7,1,0,0,-,-,-,-,-,-,-,-
8,0.0800,7,1,0,0,-,-,-,-,-,-,-,-
9,0.0900,7,1,0,0,-,-,-,-,-,-,-,-
10,0.1000,7,1,0,0,-,-,-,-,-,-,-,-
11,0.1100,7,1,0,0,-,-,-,-,-,-,-,-
12,0.1200,7,1,0,0,-,-,-,-,-,-,-,-
13,0.1300,7,1,0,0,-,-,-,-,-,-,-,-
14,0.1400,7,1,0,0,-,-,-,-,-,-,-,-
15,0.1500,7,1,0,0,-,-,-,-,-,-,-,-
16,0.1600,7,1,0,0,-,-,-,-,-,-,-,-
17,0.1700,7,1,0,0,-,-,-,-,-,-,-,-
18,0.1800,7,1,0,0,-,-,-,-,-,-,-,-
19,0.1900,7,1,0,0,-,-,-,-,-,-,-,-
20,0.2000,7,1,0,0,-,-,-,-,-,-,-,-
21,0.2100,7,1,0,0,-,-,-,-,-,-,-,-
22,0.2200,7,1,0,0,-,-,-,-,-,-,-,-
23,0.2300,7,3,3,3,-,-,-,-,-,-,-,-
24,0.2400,7,3,3,3,-,-,-,-,-,-,-,-
25,0.2500,7,3,3,3,-,-,-,-,-,-,-,-
26,0.2600,7,3,3,4,-,-,-,-,-,-,-,-
27,0.2700,7,3,0,0,-,-,-,-,-,-,-,-
28,0.2800,7,3,0,0,-,-,-,-,-,-,-,-
29,0.2900,7,3,0,0,-,-,-,-,-,-,-,-
30,0.3000,7,3,0,0,-,-,-,-,-,-,-,-
31,0.3100,7,3,0,0,-,-,-,-,-,-,-,-
32,0.3200,7,3,0,0,-,-,-,-,-,-,-,-
33,0.3300,7,3,0,0,-,-,-,-,-,-,-,-
34,0.3400,7,3,0,0,-,-,-,-,-,-,-,-
35,0.3500,7,3,0,0,-,-,-,-,-,-,-,-
36,0.3600,7,3,3,0,-,-,-,-,-,-,-,-
37,0.3700,7,3,3,0,-,-,-,-,-,-,-,-
38,0.3800,7,3,2,0,-,-,-,-,-,-,-,-
39,0.3900,7,3,0,0,-,-,-,-,-,-,-,-
40,0.4000,7,3,0,0,-,-,-,-,-,-,-,-
41,0.4100,7,3,0,0,-,-,-,-,-,-,-,-
42,0.4200,7,3,0,0,-,-,-,-,-,-,-,-
43,0.4300,7,3,0,0,-,-,-,-,-,-,-,-
44,0.4400,7,3,0,0,-,-,-,-,-,-,-,-
45,0.4500,7,3,0,0,-,-,-,-,-,-,-,-
46,0.4600,7,3,3,3,-,-,-,-,-,-,-,-
47,0.4700,7,4,3,3,-,-,-,-,-,-,-,-
48,0.4800,7,4,4,4,-,-,-,-,-,-,-,-
49,0.4900,7,4,4,4,-,-,-,-,-,-,-,-
50,0.5000,7,4,0,4,51,51,51,51,58,58,58,58
51,0.5100,7,4,3,3,-,-,-,-,-,-,-,-
52,0.5200,7,4,3,3,-,-,-,-,-,-,-,-
53,0.5300,7,4,3,3,-,-,-,-,-,-,-,-
54,0.5400,7,4,3,3,-,-,-,-,-,-,-,-
55,0.5500,7,4,3,3,-,-,-,-,-,-,-,-
56,0.5600,7,4,4,4,-,-,-,-,-,-,-,-
57,0.5700,7,4,4,4,-,-,-,-,-,-,-,-
58,0.5800,7,4,4,4,-,-,-,-,-,-,-,-
59,0.5900,7,4,3,4,-,-,-,-,-,-,-,-
60,0.6000,7,4,2,3,-,-,-,-,-,-,-,-
61,0.6100,7,4,2,3,-,-,-,-,-,-,-,-
62,0.6200,7,4,0,3,-,-,-,-,-,-,-,-
63,0.6300,7,4,3,3,-,-,-,-,-,-,-,-
64,0.6400,7,4,3,3,-,-,-,-,-,-,-,-
65,0.6500,7,4,2,3,-,-,-,-,-,-,-,-
66,0.6600,7,4,0,3,-,-,-,-,-,-,-,-
67,0.6700,7,4,0,3,-,-,-,-,-,-,-,-
68,0.6800,7,4,3,3,-,-,-,-,-,-,-,-
69,0.6900,7,4,4,4,-,-,-,-,-,-,-,-
70,0.7000,7,4,4,4,-,-,-,-,-,-,-,-
71,0.7100,7,4,3,4,-,-,-,-,-,-,-,-
72,0.7200,7,4,3,3,-,-,-,-,-,-,-,-
73,0.7300,7,4,4,3,-,-,-,-,-,-,-,-
74,0.7400,7,4,3,3,-,-,-,-,-,-,-,-
75,0.7500,7,4,4,4,-,-,-,-,-,-,-,-
76,0.7600,7,4,4,4,-,-,-,-,-,-,-,-
77,0.7700,7,4,4,4,-,-,-,-,-,-,-,-
78,0.7800,7,4,4,4,-,-,-,-,-,-,-,-
79,0.7900,7,4,3,4,-,-,-,-,-,-,-,-
80,0.8000,7,4,3,4,-,-,-,-,-,-,-,-
81,0.8100,7,4,3,4,-,-,-,-,-,-,-,-
82,0.8200,7,4,3,4,-,-,-,-,-,-,-,-
83,0.8300,7,4,3,3,-,-,-,-,-,-,-,-
84,0.8400,7,4,3,3,-,-,-,-,-,-,-,-
85,0.8500,7,4,4,4,-,-,-,-,-,-,-,-
86,0.8600,7,4,4,4,-,-,-,-,-,-,-,-
87,0.8700,7,4,4,4,-,-,-,-,-,-,-,-
88,0.8800,7,4,3,4,-,-,-,-,-,-,-,-
89,0.8900,7,4,3,4,-,-,-,-,-,-,-,-
90,0.9000,7,4,3,3,-,-,-,-,-,-,-,-
91,0.9100,7,4,3,3,-,-,-,-,-,-,-,-
92,0.9200,7,4,3,3,-,-,-,-,-,-,-,-
93,0.9300,7,4,4,4,-,-,-,-,-,-,-,-
94,0.9400,7,4,4,4,-,-,-,-,-,-,-,-
95,0.9500,7,4,4,4,-,-,-,-,-,-,-,-
96,0.9600,7,4,2,4,-,-,-,-,-,-,-,-
97,0.9700,7,4,2,4,-,-,-,-,-,-,-,-
98,0.9800,7,4,2,4,-,-,-,-,-,-,-,-
99,0.9900,7,4,4,4,-,-,-,-,-,-,-,-
100,1.0000,7,4,4,4,56,56,56,56,59,58,57,57
101,1.0100,7,4,4,4,-,-,-,-,-,-,-,-
102,1.0200,7,4,4,4,-,-,-,-,-,-,-,-
103,1.0300,7,4,3,4,-,-,-,-,-,-,-,-
104,1.0400,7,4,4,4,-,-,-,-,-,-,-,-
105,1.0500,7,4,4,4,-,-,-,-,-,-,-,-
106,1.0600,7,4,4,4,-,-,-,-,-,-,-,-
107,1.0700,7,4,3,4,-,-,-,-,-,-,-,-
108,1.0800,7,4,3,4,-,-,-,-,-,-,-,-
109,1.0900,7,4,3,4,-,-,-,-,-,-,-,-
110,1.1000,7,4,3,4,-,-,-,-,-,-,-,-
111,1.1100,7,4,4,4,-,-,-,-,-,-,-,-
112,1.1200,7,4,4,4,-,-,-,-,-,-,-,-
113,1.1300,7,4,4,4,-,-,-,-,-,-,-,-
114,1.1400,7,4,4,4,-,-,-,-,-,-,-,-
115,1.1500,7,4,4,4,-,-,-,-,-,-,-,-
116,1.1600,7,4,4,4,-,-,-,-,-,-,-,-
117,1.1700,7,4,4,4,-,-,-,-,-,-,-,-
118,1.1800,7,4,3,4,-,-,-,-,-,-,-,-
119,1.1900,7,4,3,4,-,-,-,-,-,-,-,-
120,1.2000,7,4,3,4,-,-,-,-,-,-,-,-
121,1.2100,7,4,3,4,-,-,-,-,-,-,-,-
122,1.2200,7,4,4,4,-,-,-,-,-,-,-,-
123,1.2300,7,4,4,4,-,-,-,-,-,-,-,-
124,1.2400,7,4,4,4,-,-,-,-,-,-,-,-
125,1.2500,7,4,4,4,-,-,-,-,-,-,-,-
126,1.2600,7,4,4,4,-,-,-,-,-,-,-,-
127,1.2700,7,4,4,4,-,-,-,-,-,-,-,-
128,1.2800,7,4,4,4,-,-,-,-,-,-,-,-
129,1.2900,7,4,3,4,-,-,-,-,-,-,-,-
130,1.3000,7,4,3,4,-,-,-,-,-,-,-,-
131,1.3100,7,4,3,3,-,-,-,-,-,-,-,-
132,1.3200,7,4,4,4,-,-,-,-,-,-,-,-
133,1.3300,7,4,4,4,-,-,-,-,-,-,-,-
134,1.3400,7,4,4,4,-,-,-,-,-,-,-,-
135,1.3500,7,4,4,4,-,-,-,-,-,-,-,-
136,1.3600,7,4,4,4,-,-,-,-,-,-,-,-
137,1.3700,7,4,4,4,-,-,-,-,-,-,-,-
138,1.3800,7,4,4,4,-,-,-,-,-,-,-,-
139,1.3900,7,4,3,4,-,-,-,-,-,-,-,-
140,1.4000,7,4,3,4,-,-,-,-,-,-,-,-
141,1.4100,7,4,3,4,-,-,-,-,-,-,-,-
142,1.4200,7,4,3,4,-,-,-,-,-,-,-,-
143,1.4300,7,4,4,4,-,-,-,-,-,-,-,-
144,1.4400,7,4,4,4,-,-,-,-,-,-,-,-
145,1.4500,7,4,4,4,-,-,-,-,-,-,-,-
146,1.4600,7,4,4,4,-,-,-,-,-,-,-,-
147,1.4700,7,4,4,4,-,-,-,-,-,-,-,-
148,1.4800,7,4,4,4,-,-,-,-,-,-,-,-
149,1.4900,7,4,4,4,-,-,-,-,-,-,-,-
150,1.5000,7,4,4,4,59,58,58,58,59,58,56,56
151,1.5100,7,4,4,4,-,-,-,-,-,-,-,-
152,1.5200,7,4,4,4,-,-,-,-,-,-,-,-
153,1.5300,7,4,4,4,-,-,-,-,-,-,-,-
154,1.5400,7,4,4,4,-,-,-,-,-,-,-,-
155,1.5500,7,4,4,4,-,-,-,-,-,-,-,-
156,1.5600,7,4,4,4,-,-,-,-,-,-,-,-
157,1.5700,7,4,4,4,-,-,-,-,-,-,-,-
158,1.5800,7,4,4,4,-,-,-,-,-,-,-,-
159,1.5900,7,4,4,4,-,-,-,-,-,-,-,-
160,1.6000,7,4,4,4,-,-,-,-,-,-,-,-
161,1.6100,7,4,4,4,-,-,-,-,-,-,-,-
162,1.6200,7,4,4,4,-,-,-,-,-,-,-,-
163,1.6300,7,4,4,4,-,-,-,-,-,-,-,-
164,1.6400,7,4,3,4,-,-,-,-,-,-,-,-
165,1.6500,7,4,4,4,-,-,-,-,-,-,-,-
166,1.6600,7,4,4,4,-,-,-,-,-,-,-,-
167,1.6700,7,4,4,4,-,-,-,-,-,-,-,-
168,1.6800,7,4,4,4,-,-,-,-,-,-,-,-
169,1.6900,7,4,4,4,-,-,-,-,-,-,-,-
170,1.7000,7,4,4,4,-,-,-,-,-,-,-,-
171,1.7100,7,4,4,4,-,-,-,-,-,-,-,-
172,1.7200,7,4,4,4,-,-,-,-,-,-,-,-
173,1.7300,7,4,4,4,-,-,-,-,-,-,-,-
174,1.7400,7,4,4,4,-,-,-,-,-,-,-,-
175,1.7500,7,4,4,4,-,-,-,-,-,-,-,-
176,1.7600,7,4,4,4,-,-,-,-,-,-,-,-
177,1.7700,7,4,4,4,-,-,-,-,-,-,-,-
178,1.7800,7,4,4,4,-,-,-,-,-,-,-,-
179,1.7900,7,4,4,4,-,-,-,-,-,-,-,-
180,1.8000,7,4,3,4,-,-,-,-,-,-,-,-
181,1.8100,7,4,4,4,-,-,-,-,-,-,-,-
182,1.8200,7,4,4,4,-,-,-,-,-,-,-,-
183,1.8300,7,4,4,4,-,-,-,-,-,-,-,-
184,1.8400,7,4,4,4,-,-,-,-,-,-,-,-
185,1.8500,7,4,4,4,-,-,-,-,-,-,-,-
186,1.8600,7,4,4,4,-,-,-,-,-,-,-,-
187,1.8700,7,4,4,4,-,-,-,-,-,-,-,-
188,1.8800,7,4,4,4,-,-,-,-,-,-,-,-
189,1.8900,7,4,4,4,-,-,-,-,-,-,-,-
190,1.9000,7,4,4,4,-,-,-,-,-,-,-,-
191,1.9100,7,4,4,4,-,-,-,-,-,-,-,-
192,1.9200,7,4,3,4,-,-,-,-,-,-,-,-
193,1.9300,7,4,4,4,-,-,-,-,-,-,-,-
194,1.9400,7,4,4,4,-,-,-,-,-,-,-,-
195,1.9500,7,4,4,4,-,-,-,-,-,-,-,-
196,1.9600,7,4,4,4,-,-,-,-,-,-,-,-
197,1.9700,7,4,4,4,-,-,-,-,-,-,-,-
198,1.9800,7,4,4,4,-,-,-,-,-,-,-,-
199,1.9900,7,4,4,4,-,-,-,-,-,-,-,-
200,2.0000,7,4,4,4,60,59,59,59,59,58,54,54
201,2.0100,7,4,4,4,-,-,-,-,-,-,-,-
202,2.0200,7,4,4,4,-,-,-,-,-,-,-,-
203,2.0300,7,4,4,4,-,-,-,-,-,-,-,-
204,2.0400,7,4,4,4,-,-,-,-,-,-,-,-
205,2.0500,7,4,4,4,-,-,-,-,-,-,-,-
206,2.0600,7,4,4,4,-,-,-,-,-,-,-,-
207,2.0700,7,4,4,4,-,-,-,-,-,-,-,-
208,2.0800,7,4,4,4,-,-,-,-,-,-,-,-
209,2.0900,7,4,4,4,-,-,-,-,-,-,-,-
210,2.1000,7,4,4,4,-,-,-,-,-,-,-,-
211,2.1100,7,4,4,4,-,-,-,-,-,-,-,-
212,2.1200,7,4,4,4,-,-,-,-,-,-,-,-
213,2.1300,7,4,4,4,-,-,-,-,-,-,-,-
214,2.1400,7,4,4,4,-,-,-,-,-,-,-,-
215,2.1500,7,4,4,4,-,-,-,-,-,-,-,-
216,2.1600,7,4,4,4,-,-,-,-,-,-,-,-
217,2.1700,7,4,4,4,-,-,-,-,-,-,-,-
218,2.1800,7,4,4,4,-,-,-,-,-,-,-,-
219,2.1900,7,4,4,4,-,-,-,-,-,-,-,-
220,2.2000,7,4,4,4,-,-,-,-,-,-,-,-
