exp,scheme,O,L,iter,reason,err
A,0,0,0,132,CONVERGED_RTOL,5.421e-05
A,0,1,0,148,CONVERGED_RTOL,5.421e-05
A,0,2,0,179,CONVERGED_RTOL,5.421e-05
A,0,3,0,199,CONVERGED_RTOL,5.421e-05
A,0,4,0,203,CONVERGED_RTOL,5.421e-05
A,0,5,0,202,CONVERGED_RTOL,5.421e-05
A,0,0,1,102,CONVERGED_RTOL,5.420e-05
A,0,1,1,102,CONVERGED_RTOL,5.420e-05
A,0,2,1,117,CONVERGED_RTOL,5.421e-05
A,0,3,1,130,CONVERGED_RTOL,5.421e-05
A,0,4,1,133,CONVERGED_RTOL,5.421e-05
A,0,5,1,133,CONVERGED_RTOL,5.421e-05
A,0,0,2,87,CONVERGED_RTOL,5.420e-05
A,0,1,2,92,CONVERGED_RTOL,5.421e-05
A,0,2,2,90,CONVERGED_RTOL,5.422e-05
A,0,3,2,103,CONVERGED_RTOL,5.421e-05
A,0,4,2,105,CONVERGED_RTOL,5.421e-05
A,0,5,2,106,CONVERGED_RTOL,5.421e-05
A,0,0,3,77,CONVERGED_RTOL,5.421e-05
A,0,1,3,75,CONVERGED_RTOL,5.420e-05
A,0,2,3,74,CONVERGED_RTOL,5.420e-05
A,0,3,3,80,CONVERGED_RTOL,5.421e-05
A,0,4,3,83,CONVERGED_RTOL,5.421e-05
A,0,5,3,83,CONVERGED_RTOL,5.421e-05
A,0,0,4,72,CONVERGED_RTOL,5.423e-05
A,0,1,4,65,CONVERGED_RTOL,5.420e-05
A,0,2,4,65,CONVERGED_RTOL,5.420e-05
A,0,3,4,59,CONVERGED_RTOL,5.417e-05
A,0,4,4,66,CONVERGED_RTOL,5.421e-05
A,0,5,4,68,CONVERGED_RTOL,5.421e-05
A,0,0,5,66,CONVERGED_RTOL,5.422e-05
A,0,1,5,56,CONVERGED_RTOL,5.420e-05
A,0,2,5,57,CONVERGED_RTOL,5.420e-05
A,0,3,5,56,CONVERGED_RTOL,5.420e-05
A,0,4,5,55,CONVERGED_RTOL,5.420e-05
A,0,5,5,56,CONVERGED_RTOL,5.421e-05
A,0,0,6,64,CONVERGED_RTOL,5.420e-05
A,0,1,6,50,CONVERGED_RTOL,5.421e-05
A,0,2,6,51,CONVERGED_RTOL,5.420e-05
A,0,3,6,50,CONVERGED_RTOL,5.420e-05
A,0,4,6,46,CONVERGED_RTOL,5.420e-05
A,0,5,6,48,CONVERGED_RTOL,5.420e-05
B,3,0,0,132,CONVERGED_RTOL,5.421e-05
B,3,1,0,104,CONVERGED_RTOL,5.421e-05
B,3,2,0,103,CONVERGED_RTOL,5.421e-05
B,3,3,0,102,CONVERGED_RTOL,5.421e-05
B,3,4,0,102,CONVERGED_RTOL,5.421e-05
B,3,5,0,101,CONVERGED_RTOL,5.421e-05
B,3,0,1,102,CONVERGED_RTOL,5.420e-05
B,3,1,1,75,CONVERGED_RTOL,5.421e-05
B,3,2,1,73,CONVERGED_RTOL,5.420e-05
B,3,3,1,74,CONVERGED_RTOL,5.420e-05
B,3,4,1,73,CONVERGED_RTOL,5.420e-05
B,3,5,1,74,CONVERGED_RTOL,5.420e-05
B,3,0,2,87,CONVERGED_RTOL,5.420e-05
B,3,1,2,70,CONVERGED_RTOL,5.420e-05
B,3,2,2,67,CONVERGED_RTOL,5.421e-05
B,3,3,2,66,CONVERGED_RTOL,5.421e-05
B,3,4,2,65,CONVERGED_RTOL,5.421e-05
B,3,5,2,65,CONVERGED_RTOL,5.421e-05
B,3,0,3,77,CONVERGED_RTOL,5.421e-05
B,3,1,3,60,CONVERGED_RTOL,5.420e-05
B,3,2,3,57,CONVERGED_RTOL,5.420e-05
B,3,3,3,55,CONVERGED_RTOL,5.421e-05
B,3,4,3,55,CONVERGED_RTOL,5.421e-05
B,3,5,3,54,CONVERGED_RTOL,5.421e-05
B,3,0,4,72,CONVERGED_RTOL,5.423e-05
B,3,1,4,51,CONVERGED_RTOL,5.421e-05
B,3,2,4,50,CONVERGED_RTOL,5.420e-05
B,3,3,4,48,CONVERGED_RTOL,5.421e-05
B,3,4,4,47,CONVERGED_RTOL,5.421e-05
B,3,5,4,47,CONVERGED_RTOL,5.421e-05
B,3,0,5,66,CONVERGED_RTOL,5.422e-05
B,3,1,5,48,CONVERGED_RTOL,5.420e-05
B,3,2,5,43,CONVERGED_RTOL,5.421e-05
B,3,3,5,42,CONVERGED_RTOL,5.420e-05
B,3,4,5,41,CONVERGED_RTOL,5.420e-05
B,3,5,5,40,CONVERGED_RTOL,5.420e-05
