method,O,L,extra,iter,min_time_s
BASIC,0,0,-,102,0.165
BASIC,0,1,-,87,0.142
BASIC,0,2,-,77,0.143
BASIC,0,3,-,68,0.152
BASIC,1,0,-,110,0.190
BASIC,1,1,-,75,0.126
BASIC,1,2,-,67,0.121
BASIC,1,3,-,63,0.139
BASIC,2,0,-,134,0.220
BASIC,2,1,-,83,0.143
BASIC,2,2,-,65,0.128
BASIC,2,3,-,53,0.124
sASM,0,0,-,102,0.157
sASM,0,1,-,87,0.139
sASM,0,2,-,77,0.138
sASM,0,3,-,68,0.143
sASM,1,0,-,75,0.114
sASM,1,1,-,65,0.118
sASM,1,2,-,59,0.116
sASM,1,3,-,52,0.122
sASM,2,0,-,74,0.128
sASM,2,1,-,63,0.114
sASM,2,2,-,54,0.110
sASM,2,3,-,49,0.122
sASM,3,0,-,74,0.123
sASM,3,1,-,63,0.114
sASM,3,2,-,53,0.110
sASM,3,3,-,47,0.123
sASM+Cheby,2,1,d2,42,0.106
sASM+Cheby,2,1,d3,36,0.114
sASM+Cheby,2,2,d2,38,0.113
sASM+Cheby,2,2,d3,34,0.130
sASM+Cheby,3,1,d2,41,0.107
sASM+Cheby,3,1,d3,33,0.108
sASM+Cheby,3,2,d2,36,0.112
sASM+Cheby,3,2,d3,31,0.123
RAS+GMRES,2,1,r30,54,0.078
RAS+GMRES,2,1,r60,48,0.080
RAS+GMRES,2,1,r120,48,0.081
RAS+GMRES,2,2,r30,44,0.073
RAS+GMRES,2,2,r60,40,0.072
RAS+GMRES,2,2,r120,40,0.074
RAS+GMRES,3,1,r30,51,0.076
RAS+GMRES,3,1,r60,47,0.085
RAS+GMRES,3,1,r120,47,0.082
RAS+GMRES,3,2,r30,42,0.075
RAS+GMRES,3,2,r60,39,0.074
RAS+GMRES,3,2,r120,39,0.073
