method,O,L,iter,reason
BASIC,0,0,60,CONVERGED_RTOL
BASIC,1,0,74,CONVERGED_RTOL
BASIC,2,0,82,CONVERGED_RTOL
BASIC,3,0,93,CONVERGED_RTOL
BASIC,4,0,94,CONVERGED_RTOL
BASIC,5,0,92,CONVERGED_RTOL
BASIC,0,1,51,CONVERGED_RTOL
BASIC,1,1,50,CONVERGED_RTOL
BASIC,2,1,53,CONVERGED_RTOL
BASIC,3,1,60,CONVERGED_RTOL
BASIC,4,1,62,CONVERGED_RTOL
BASIC,5,1,61,CONVERGED_RTOL
BASIC,0,2,46,CONVERGED_RTOL
BASIC,1,2,42,CONVERGED_RTOL
BASIC,2,2,43,CONVERGED_RTOL
BASIC,3,2,46,CONVERGED_RTOL
BASIC,4,2,48,CONVERGED_RTOL
BASIC,5,2,48,CONVERGED_RTOL
BASIC,0,3,42,CONVERGED_RTOL
BASIC,1,3,36,CONVERGED_RTOL
BASIC,2,3,35,CONVERGED_RTOL
BASIC,3,3,36,CONVERGED_RTOL
BASIC,4,3,37,CONVERGED_RTOL
BASIC,5,3,37,CONVERGED_RTOL
BASIC,0,4,40,CONVERGED_RTOL
BASIC,1,4,32,CONVERGED_RTOL
BASIC,2,4,30,CONVERGED_RTOL
BASIC,3,4,31,CONVERGED_RTOL
BASIC,4,4,30,CONVERGED_RTOL
BASIC,5,4,30,CONVERGED_RTOL
BASIC,0,5,38,CONVERGED_RTOL
BASIC,1,5,29,CONVERGED_RTOL
BASIC,2,5,27,CONVERGED_RTOL
BASIC,3,5,27,CONVERGED_RTOL
BASIC,4,5,26,CONVERGED_RTOL
BASIC,5,5,26,CONVERGED_RTOL
sASM,0,0,60,CONVERGED_RTOL
sASM,1,0,51,CONVERGED_RTOL
sASM,2,0,51,CONVERGED_RTOL
sASM,3,0,50,CONVERGED_RTOL
sASM,4,0,50,CONVERGED_RTOL
sASM,5,0,50,CONVERGED_RTOL
sASM,0,1,51,CONVERGED_RTOL
sASM,1,1,39,CONVERGED_RTOL
sASM,2,1,38,CONVERGED_RTOL
sASM,3,1,37,CONVERGED_RTOL
sASM,4,1,37,CONVERGED_RTOL
sASM,5,1,36,CONVERGED_RTOL
sASM,0,2,46,CONVERGED_RTOL
sASM,1,2,34,CONVERGED_RTOL
sASM,2,2,33,CONVERGED_RTOL
sASM,3,2,32,CONVERGED_RTOL
sASM,4,2,32,CONVERGED_RTOL
sASM,5,2,32,CONVERGED_RTOL
Chol,0,-,34,CONVERGED_RTOL
Chol,1,-,21,CONVERGED_RTOL
Chol,2,-,20,CONVERGED_RTOL
Chol,3,-,18,CONVERGED_RTOL
Chol,5,-,15,CONVERGED_RTOL
