scheme,O,L,iter,min_time_s
0,0,0,132,0.191
0,0,1,102,0.153
0,0,2,87,0.145
0,0,3,77,0.157
0,0,4,72,0.180
0,1,0,148,0.235
0,1,1,102,0.169
0,1,2,92,0.171
0,1,3,75,0.170
0,1,4,65,0.181
0,2,0,179,0.288
0,2,1,117,0.208
0,2,2,90,0.175
0,2,3,74,0.175
0,2,4,65,0.192
3,0,0,132,0.196
3,0,1,102,0.159
3,0,2,87,0.150
3,0,3,77,0.159
3,0,4,72,0.183
3,1,0,104,0.165
3,1,1,75,0.127
3,1,2,70,0.133
3,1,3,60,0.137
3,1,4,51,0.147
3,2,0,103,0.170
3,2,1,73,0.124
3,2,2,67,0.129
3,2,3,57,0.138
3,2,4,50,0.150
3,3,0,102,0.174
3,3,1,74,0.134
3,3,2,66,0.132
3,3,3,55,0.138
3,3,4,48,0.149
