ranks,ratio,method,O,iter,lmin,lmax,kappa
2,1,sASM,2,109,9.5068e-04,1.2399e+00,1.3042e+03
2,1,harm,2,119,9.5335e-04,1.5272e+00,1.6019e+03
2,1,harm+coarse,2,119,9.5335e-04,1.5272e+00,1.6019e+03
2,1,mult+coarse,2,119,9.5335e-04,1.5272e+00,1.6019e+03
4,1,sASM,2,101,9.3058e-04,1.2408e+00,1.3333e+03
4,1,harm,2,110,9.3622e-04,1.4954e+00,1.5972e+03
4,1,harm+coarse,2,110,9.3622e-04,1.4954e+00,1.5972e+03
4,1,mult+coarse,2,110,9.3622e-04,1.4954e+00,1.5972e+03
8,1,sASM,2,103,9.0754e-04,1.2611e+00,1.3895e+03
8,1,harm,2,111,9.1609e-04,1.4960e+00,1.6330e+03
8,1,harm+coarse,2,111,9.1609e-04,1.4960e+00,1.6330e+03
8,1,mult+coarse,2,111,9.1609e-04,1.4960e+00,1.6330e+03
