ranks,ratio,method,O,iter,true_res,unorm
2,1,BASIC,2,151,9.485e-07,1.251660e+02
2,1,sASM,2,112,9.097e-07,1.251660e+02
2,1,harm,2,108,7.702e-07,1.251660e+02
2,1,harm+coarse,2,114,8.228e-07,1.251660e+02
2,1,mult+coarse,2,126,8.796e-07,1.251660e+02
4,1,BASIC,2,182,9.896e-07,1.251660e+02
4,1,sASM,2,109,9.906e-07,1.251660e+02
4,1,harm,2,98,8.486e-07,1.251660e+02
4,1,harm+coarse,2,119,9.268e-07,1.251660e+02
4,1,mult+coarse,2,130,9.563e-07,1.251660e+02
8,1,BASIC,2,205,9.762e-07,1.251660e+02
8,1,sASM,2,115,9.612e-07,1.251660e+02
8,1,harm,2,99,9.176e-07,1.251660e+02
8,1,harm+coarse,2,114,7.864e-07,1.251660e+02
8,1,mult+coarse,2,122,9.516e-07,1.251660e+02
16,1,BASIC,2,218,9.588e-07,1.251660e+02
16,1,sASM,2,118,8.605e-07,1.251660e+02
16,1,harm,2,109,9.275e-07,1.251660e+02
16,1,harm+coarse,2,104,8.822e-07,1.251660e+02
16,1,mult+coarse,2,114,7.771e-07,1.251660e+02
2,100,BASIC,2,243,9.426e-07,1.782995e+02
2,100,sASM,2,178,9.247e-07,1.782995e+02
2,100,harm,2,168,9.617e-07,1.782995e+02
2,100,harm+coarse,2,184,8.854e-07,1.782995e+02
2,100,mult+coarse,2,255,8.907e-07,1.782995e+02
4,100,BASIC,2,305,9.456e-07,1.782995e+02
4,100,sASM,2,191,9.674e-07,1.782995e+02
4,100,harm,2,188,9.333e-07,1.782995e+02
4,100,harm+coarse,2,184,9.255e-07,1.782995e+02
4,100,mult+coarse,2,253,9.900e-07,1.782995e+02
8,100,BASIC,2,333,9.661e-07,1.782995e+02
8,100,sASM,2,201,8.881e-07,1.782995e+02
8,100,harm,2,188,9.491e-07,1.782995e+02
8,100,harm+coarse,2,166,9.697e-07,1.782995e+02
8,100,mult+coarse,2,235,9.091e-07,1.782995e+02
16,100,BASIC,2,355,9.728e-07,1.782995e+02
16,100,sASM,2,218,9.679e-07,1.782995e+02
16,100,harm,2,201,9.650e-07,1.782995e+02
16,100,harm+coarse,2,143,8.977e-07,1.782995e+02
16,100,mult+coarse,2,231,9.499e-07,1.782995e+02
