# asm_stride_test  n=24 nd=13824 steps=2500 dt=0.01 ms (T=25 ms) stride=1 (Sys2/Sys3 every 0.01 ms) win=16 wstride=50 (span 8 ms) gcut=1e-08 regime=0 pc=sASM+IC(0) nsub=4 ovl=1 setup=0.001 s
step,t_ms,s1_v0,s1_v1,s1_v2,s1_v3,s1_v4,s2_v0,s2_v1,s2_v2,s2_v3,s2_v4,s3_v0,s3_v1,s3_v2,s3_v3,s3_v4
0,0.0000,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0
1,0.0100,7,1,2,7,2,47,47,47,47,47,58,58,58,58,58
2,0.0200,7,1,2,7,2,47,46,0,47,0,58,57,0,58,0
3,0.0300,7,1,0,7,2,47,45,0,47,0,58,55,0,58,0
4,0.0400,7,1,0,7,2,47,45,0,47,0,58,54,0,58,0
5,0.0500,7,1,0,7,2,47,44,0,47,0,58,54,0,58,0
6,0.0600,7,1,0,7,2,47,44,0,47,0,58,53,0,58,0
7,0.0700,7,1,0,7,2,47,43,0,47,0,58,53,0,58,0
8,0.0800,7,1,0,7,2,47,43,0,47,0,58,53,0,58,0
9,0.0900,7,1,0,7,2,47,43,0,47,0,58,53,0,58,0
10,0.1000,7,1,0,7,2,47,43,0,47,0,58,52,0,58,0
11,0.1100,7,1,0,7,2,47,42,0,47,0,58,52,0,58,0
12,0.1200,7,1,0,7,2,47,42,0,47,0,58,52,0,58,0
13,0.1300,7,1,0,7,2,47,42,0,47,0,58,52,0,58,0
14,0.1400,7,1,0,7,2,47,42,0,47,0,58,52,0,58,0
15,0.1500,7,1,0,7,2,47,42,0,47,0,58,52,0,58,0
16,0.1600,7,1,0,7,2,47,42,0,47,0,58,52,0,58,0
17,0.1700,7,1,0,7,2,47,42,0,47,0,58,52,0,58,0
18,0.1800,7,1,0,7,2,47,41,0,47,0,58,52,0,58,0
19,0.1900,7,1,0,7,2,47,41,0,47,0,58,51,0,58,0
20,0.2000,7,1,0,7,2,47,41,0,47,0,58,51,0,58,0
21,0.2100,7,1,0,7,2,47,41,0,47,0,58,51,0,58,0
22,0.2200,7,1,0,7,2,47,41,0,47,0,58,51,0,58,0
23,0.2300,7,3,3,7,3,47,41,37,47,37,58,51,43,58,43
24,0.2400,7,3,3,7,3,47,43,0,47,43,58,51,0,58,46
25,0.2500,7,3,3,7,3,48,43,1,48,44,58,51,1,58,46
26,0.2600,7,3,3,7,3,48,43,0,48,44,58,51,1,58,46
27,0.2700,7,3,0,7,3,48,43,1,48,44,58,51,1,58,45
28,0.2800,7,3,0,7,3,49,43,1,49,44,58,50,1,58,45
29,0.2900,7,3,0,7,3,49,43,0,49,44,58,50,1,58,45
30,0.3000,7,3,0,7,3,49,43,0,49,44,58,50,1,58,45
31,0.3100,7,3,0,7,3,49,43,0,49,44,58,50,1,58,45
32,0.3200,7,3,0,7,3,49,43,0,49,44,58,50,1,58,45
33,0.3300,7,3,0,7,3,49,43,1,49,44,58,50,1,58,45
34,0.3400,7,3,0,7,3,50,43,1,50,44,58,50,1,58,45
35,0.3500,7,3,0,7,3,50,43,0,50,44,58,50,1,58,45
36,0.3600,7,3,3,7,3,50,43,0,50,44,58,50,1,58,44
37,0.3700,7,3,3,7,3,50,43,0,50,43,58,50,1,58,44
38,0.3800,7,3,2,7,3,50,43,0,50,43,58,50,1,58,44
39,0.3900,7,3,0,7,3,50,43,0,50,43,58,50,0,58,44
40,0.4000,7,3,0,7,3,50,43,0,50,43,58,50,0,58,44
41,0.4100,7,3,0,7,3,50,43,0,50,43,58,50,0,58,44
42,0.4200,7,3,0,7,3,50,43,0,50,43,58,50,0,58,44
43,0.4300,7,3,0,7,3,50,43,0,50,43,58,50,0,58,44
44,0.4400,7,3,0,7,3,50,43,1,50,42,58,50,0,58,44
45,0.4500,7,3,0,7,3,50,42,1,50,42,58,50,0,58,43
46,0.4600,7,3,3,7,3,50,45,43,50,44,58,50,38,58,44
47,0.4700,7,4,3,7,4,50,45,0,50,45,58,49,40,58,45
48,0.4800,7,4,4,7,4,50,45,0,50,45,58,49,0,58,45
49,0.4900,7,4,4,7,4,50,45,0,50,45,58,49,0,58,45
50,0.5000,7,4,0,4,4,51,45,1,51,45,58,49,1,58,45
51,0.5100,7,4,3,4,3,51,46,43,46,46,58,52,46,50,50
52,0.5200,7,4,3,4,3,51,46,1,47,0,58,52,0,51,0
53,0.5300,7,4,3,4,3,51,46,1,48,0,58,52,0,52,0
54,0.5400,7,4,3,4,3,51,46,0,49,0,58,52,0,52,0
55,0.5500,7,4,3,4,3,51,46,38,49,39,58,52,35,53,38
